,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
10,Non-Fiction,2018,R,03 May 2019,108 min,"Comedy, Drama, Romance",Olivier Assayas,Olivier Assayas,"Guillaume Canet, Juliette Binoche, Vincent Macaigne, Christa Théret","Set in the Parisian publishing world, an editor and an author find themselves in over their heads, as they cope with a middle-age crisis, the changing industry and their wives.",French,France,3 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BYzYxMTZlMGUtMGM2MC00ZjdhLWI1MjItMGY4YjliMzI0YTlhXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,6.5,"4,466",tt7250056,movie,03 Aug 2019,"$704,919","Arte, CG Cinéma, Vortex Sutra, Playtime, Axia Films",N/A,True
11,Rakhta Charitra 2,2010,Not Rated,03 Dec 2010,135 min,"Action, Biography, Crime, Drama, Thriller",Ram Gopal Varma,Prashant Pandey (story & screenplay),"Shatrughan Sinha, Vivek Oberoi, Suriya, Sudeep","After avenging the death of his father and brother, a man must now content with another vengeful male.","Hindi, Telugu, Tamil",India,2 nominations.,https://m.media-amazon.com/images/M/MV5BYjQxMzA5YjItZjNjYi00YmJiLWEyMjItOGZlOGFjZGI5MzdlXkEyXkFqcGdeQXVyODA2ODM3NDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",N/A,6.5,"2,579",tt1727535,movie,22 May 2017,N/A,N/A,N/A,True
12,Act of Valor,2012,R,24 Feb 2012,110 min,"Action, Adventure, Thriller, War","Mike McCoy, Scott Waugh",Kurt Johnstad,"Rorke Denver, Dave, Sonny, Weimy","An unprecedented blend of real-life heroism and original filmmaking, Act of Valor stars a group of active-duty Navy SEALs in a powerful story of contemporary global anti-terrorism. Inspired by true events, the film combines stunning combat sequences, up-to-the minute battlefield technology and heart-pumping emotion for the ultimate action adventure. Act of Valor takes audiences deep into the secretive world of the most elite, highly trained group of warriors in the modern world. When the rescue of a kidnapped CIA operative leads to the discovery of a deadly terrorist plot against the U.S., a team of SEALs is dispatched on a worldwide manhunt. As the valiant men of Bandito Platoon race to stop a coordinated attack that could kill and wound thousands of American civilians, they must balance their commitment to country, team and their families back home. Each time they accomplish their mission, a new piece of intelligence reveals another shocking twist to the deadly terror plot, which stretches from Chechnya to the Philippines and from Ukraine to Somalia. The widening operation sends the SEALs across the globe as they track the terrorist ring to the U.S.-Mexico border, where they engage in an epic firefight with an outcome that has potentially unimaginable consequences for the future of America.","Filipino, English, Russian, Spanish",USA,1 win & 7 nominations.,https://m.media-amazon.com/images/M/MV5BMTY3NDQxMDAzM15BMl5BanBnXkFtZTcwNzEyNjgzNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.5,"66,933",tt1591479,movie,04 Jun 2012,"$70,012,847",Bandido Brothers,N/A,True
13,A Pistol for Ringo,1965,Approved,12 May 1965,98 min,"Comedy, Western",Duccio Tessari,Duccio Tessari (screenplay),"Giuliano Gemma, Fernando Sancho, Lorella De Luca, Nieves Navarro","Finito in prigione per avere ucciso, per legittima difesa, tre uomini mentre giocava a campana, Ringo viene liberato per infiltrarsi tra i banditi capeggiati da Sancho che, dopo una rapina in banca, si sono asserragliati nella fattoria del maggiore Clyde. Ringo, detto Faccia d'Angelo, chiede il trenta per cento del bottino per la sua impresa, poi, arrivato alla fattoria, svela tutto a Sancho ottenendo il quaranta per cento del bottino per portare in salvo lui e i suoi compari...","Italian, English","Italy, Spain",N/A,https://m.media-amazon.com/images/M/MV5BNGE5NjkyNjQtOTY1ZS00MmMxLTk1YzQtNDhkOTk5ZWExYmUyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.5,"1,653",tt0059601,movie,N/A,N/A,Produzioni Cinematografiche Mediterranee (PCM),N/A,True
14,Telstar: The Joe Meek Story,2008,R,19 Jun 2009,119 min,"Biography, Drama, Music",Nick Moran,"Nick Moran, James Hicks","Con O'Neill, Kevin Spacey, Pam Ferris, JJ Feild","In the early 1960s self-taught electronics whizz Joe Meek amazingly produces a string of home made hit singles from his studio in his flat above a leather shop in London. His biggest success is the instrumental 'Telstar' but accusations of plagiarism delay royalties. Joe's mercurial temper causes his artists to forsake him for other labels, in particular his young lover Heinz Burt. Now in debt and after unwisely parting from his chief financier Major Banks, Joe finds himself unable to control his life. Increasingly paranoid, believing he is being bugged by rival record companies and that everybody is out to get him, the last straw comes when landlady Violet tells him she is selling the building in which he lives. Joe had once confiscated a shotgun from Heinz. Now it is dangerously close at hand and about to end the Joe Meek story.",English,UK,1 nomination.,https://m.media-amazon.com/images/M/MV5BY2RjOTQwNTctMmQ2Zi00OWZkLTgxMmEtY2M2YmY2ODFjZGRkXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}]",N/A,6.5,"1,577",tt1068669,movie,24 Apr 2016,N/A,N/A,N/A,True
15,Voyage of Time: Life's Journey,2016,PG-13,04 May 2017,90 min,"Documentary, Drama",Terrence Malick,Terrence Malick,"Cate Blanchett, Jamal Cavil, Maisha Diatta, Yagazie Emezi",An exploration into our planetary past and a search for humanity's place in the future. With narration by Cate Blanchett.,English,"France, Germany, USA",2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTg2NzU5OTEwNl5BMl5BanBnXkFtZTgwMDkxNjA4OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.5,"4,425",tt1945228,movie,N/A,N/A,N/A,N/A,True
16,Casanova,2005,R,06 Jan 2006,112 min,"Adventure, Comedy, Drama, Romance",Lasse Hallström,"Jeffrey Hatcher (screenplay), Kimberly Simi (screenplay), Kimberly Simi (story), Michael Cristofer (story)","Heath Ledger, Sienna Miller, Jeremy Irons, Oliver Platt","Casanova is in love with Francesca, who thinks he is a friend of himself even though he is engaged to Victoria, who is the love of Giovanni, Francesca's brother. Francesca is betrothed to Paprizzio who thinks Casanova is the feminist writer Guardi, who is really Francessca's nomme de plume. Amidst all these secret identities and misunderstandings, the Catholic Church sends Pucci to bring Casanova and Guardi to trial for heresy.",English,USA,5 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BZTM2MGFmMjctM2EyNi00MmI4LTkyYjItMDhjZWQ4MjUyNGJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.5,"52,345",tt0402894,movie,01 Jan 2017,"$11,304,403",Walt Disney Pictures,N/A,True
17,Anthony Zimmer,2005,N/A,27 Apr 2005,89 min,"Crime, Drama, Romance, Thriller",Jérôme Salle,Jérôme Salle,"Sophie Marceau, Yvan Attal, Sami Frey, Gilles Lellouche","In Nice, the international police force and the Russian mafia are chasing Anthony Zimmer, an intelligent man responsible for laundry of dirty money in France. Zimmer had extensive plastic surgery, and his new face and voice are completely unknown. The only means to reach Zimmer is through his beloved mistress Chiara, who is under surveillance of the police and the mobsters. While traveling by train to the country nearby Nice, the common man François Taillandier, who has the same body shape of Zimmer, is select by Chiara as if he were Zimmer and used as a bait to lure those that are pursuing her. When Taillandier is chased by the professional Russian killers, he runs the French police when the real situation begins to be disclosed to him.","French, Russian, English",France,2 nominations.,https://m.media-amazon.com/images/M/MV5BMjEyNTM5MDQzM15BMl5BanBnXkFtZTcwNjg1NjEzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}]",N/A,6.6,"7,722",tt0411118,movie,N/A,N/A,"Alter Films, Fidélité Productions, Canal+",N/A,True
18,Premium Rush,2012,PG-13,24 Aug 2012,91 min,"Action, Crime, Thriller",David Koepp,"David Koepp, John Kamps","Joseph Gordon-Levitt, Dania Ramirez, Sean Kennedy, Kym Perfetto","Wilee is one of 1,500 bike couriers in Manhattan who rides on the edge by having a bike with no brakes. On this day, Wilee has a delivery that is so valuable that a corrupt NYC Detective, who needs the money, begins to chase Wilee throughout the city to get it before the envelope is delivered.","English, Mandarin, Cantonese",USA,1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BNzkxNjAwMDkwOF5BMl5BanBnXkFtZTcwMTQ1NDkwOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.5,"110,830",tt1547234,movie,07 May 2013,"$20,275,446",Pariah Films,N/A,True
19,Resident Evil: Damnation,2012,R,27 Oct 2012,100 min,"Animation, Action, Horror, Sci-Fi, Thriller",Makoto Kamiya,Shotaro Suga (screenplay),"Matthew Mercer, Dave Wittenberg, Wendee Lee, Val Tasso","United States Special Agent Leon S. Kennedy sneaks into a small Eastern European country to verify rumors that Bio Organic Weapons (B.O.W.s) are being used in war. Right after his infiltration, the U.S. government orders him to leave immediately. Determined to uncover the truth, Leon ignores the order and enters the battlefield to end the chain of tragedies caused by the B.O.W.s.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BMDY2M2RkMmMtNGY3Yy00MTg0LWJmMmItNjEzODJjYTViZjA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.5,"18,730",tt1753496,movie,N/A,N/A,"Capcom, Sony Pictures Entertainment",N/A,True
20,City of Lies,2018,R,19 Mar 2021,112 min,"Biography, Crime, Drama, Mystery, Thriller",Brad Furman,"Randall Sullivan (based on the non-fiction book by), Christian Contreras (screenplay)","Johnny Depp, Forest Whitaker, Toby Huss, Dayton Callie",Russell Poole and Jack Jackson investigate the murders of rappers Notorious B.I.G. and Tupac Shakur.,"English, Spanish","UK, USA",N/A,https://m.media-amazon.com/images/M/MV5BY2YyNTJjYmMtOGQxZC00N2UxLWEzNjMtOGU3ZjA2MGU1NjA5XkEyXkFqcGdeQXVyMTE1Nzg4NjY0._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.5,"7,666",tt2677722,movie,N/A,"$572,493",N/A,N/A,True
21,His House,2020,TV-14,30 Oct 2020,93 min,"Drama, Horror, Thriller",Remi Weekes,"Remi Weekes (screenplay), Felicity Evans (story), Toby Venables (story)","Sope Dirisu, Wunmi Mosaku, Malaika Wakoli-Abigaba, Matt Smith","A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.","English, Dinka",UK,Won 1 BAFTA Film Award. Another 7 wins & 29 nominations.,https://m.media-amazon.com/images/M/MV5BOTQ0MTA2NjItMzFhMy00MTU2LTgwZmEtZjcxY2VkY2VjZDlhXkEyXkFqcGdeQXVyNDgyNzAxMzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,6.5,"29,416",tt8508734,movie,N/A,N/A,N/A,N/A,True
22,Ladder 49,2004,PG-13,01 Oct 2004,115 min,"Action, Drama, Thriller",Jay Russell,Lewis Colick,"Joaquin Phoenix, John Travolta, Jacinda Barrett, Robert Patrick","Under the watchful eye of his mentor Captain Mike Kennedy, probationary firefighter Jack Morrison matures into a seasoned veteran at a Baltimore fire station. Jack has reached a crossroads, however, as the sacrifices he's made have put him in harm's way innumerable times and significantly impacted his relationship with his wife and kids. Responding to the worst blaze in his career, he becomes trapped inside a 20-story building. And as he reflects on his life, now Deputy Chief Kennedy frantically coordinates the effort to save him.",English,USA,1 win & 7 nominations.,https://m.media-amazon.com/images/M/MV5BMjEyNDQ0NjAzMV5BMl5BanBnXkFtZTcwMjk2OTUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.5,"55,032",tt0349710,movie,11 Jan 2016,"$74,541,707","Casey Silver Productions, Touchstone Pictures, Beacon Pictures, Beacon Communications, Fantail Films Inc.",N/A,True
23,Along Came Jones,1945,Approved,19 Jul 1945,90 min,"Comedy, Romance, Western",Stuart Heisler,"Nunnally Johnson, Alan Le May (novel)","Gary Cooper, Loretta Young, William Demarest, Dan Duryea","Riding into Payneville, easy-going cowboy Melody Jones is mistaken by the townsfolk for notorious gunman Monte Jarrad. The real Jarrad is hiding out wounded on the ranch of childhood sweetheart Cherry. She has the idea of sending Jones off to decoy the pursuing posse, but once he's met Cherry, Jones has other plans.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTE4NDRhZTAtOTE1ZC00YzVlLThkYTUtZTA0YzFlYmY4YjZlXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}]",N/A,6.5,"1,887",tt0037508,movie,08 Jan 2017,N/A,International Pictures Inc. [us],N/A,True
24,The Blair Witch Project,1999,R,30 Jul 1999,81 min,"Horror, Mystery","Daniel Myrick, Eduardo Sánchez","Daniel Myrick, Eduardo Sánchez","Heather Donahue, Joshua Leonard, Michael C. Williams, Bob Griffin","Three film students travel to Maryland to make a student film about a local urban legend... The Blair Witch. The three went into the woods on a two day hike to find the Blair Witch, and never came back. One year later, the students film and video were found in the woods. The footage was compiled and made into a movie. The Blair Witch Project.",English,USA,19 wins & 26 nominations.,https://m.media-amazon.com/images/M/MV5BNzQ1NDBlNDItMDAyYS00YTI2LTgwMmYtMzAwMzg4NDFlM2ZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,6.5,"236,330",tt0185937,movie,15 Dec 2015,"$140,539,099",Haxan Films,N/A,True
25,Eulogy,2004,R,26 Sep 2004,91 min,"Comedy, Drama",Michael Clancy,Michael Clancy,"Zooey Deschanel, Micole Mercurio, Lucy Boyle, Tania Gunadi","When three generations of a dysfunctional family gather in Rhode Island to bury the family patriarch, members of the Collins clan are at each other's throats in no time. Son Daniel is a secret porn actor, and daughter Lucy is a lesbian. Lucy totes along her lover Judy to the outrage of Lucy's aggressively neurotic sister Alice, whose hysterical overreaction to the pair's marriage plans ought to tell everyone something. Rounding out the delightful crowd are dim brother Skip, whose unfailingly rude twin sons offer caustic commentary on their elders' infantile predilections; matriarchal widow Charlotte, who becomes so justifiably distraught at the insanity of her children she tries to commit suicide; and Kate, a confused but comely college freshman who juggles preparation of the eulogy with internal debate over what to do with her childhood friend-turned-suitor, Ryan.",English,"UK, Germany, USA",N/A,https://m.media-amazon.com/images/M/MV5BMTczMDA1MjEzOF5BMl5BanBnXkFtZTcwNjIwMDEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,6.5,"8,634",tt0349416,movie,01 Oct 2016,"$75,076","Equity Pictures Medienfonds, Haft Entertainment, Myriad Pictures, Ovation Entertainment LLC, Eulogy Productions LLC, Cherry Road Films LLC",N/A,True
26,Double Jeopardy,1999,R,24 Sep 1999,105 min,"Crime, Drama, Mystery, Thriller",Bruce Beresford,"David Weisberg, Douglas Cook","Tommy Lee Jones, Ashley Judd, Benjamin Weir, Jay Brazeau","When Nick Parsons appears to be murdered his wife Libby is tried and convicted. Six years later Libby is paroled and with the help of Travis Lehman (her parole officer) she sets out to find her son and the truth behind the ""murder"".",English,"USA, Germany, Canada",1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BM2UzNzYzMjctYmI0MS00MzQ3LTliMTktOTA1MGU0YTM3NzRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.5,"76,908",tt0150377,movie,01 Aug 2013,"$116,741,558",Paramount Pictures,N/A,True
