,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
10,Brain on Fire,2016,PG-13,22 Jun 2018,88 min,"Biography, Drama",Gerard Barrett,"Gerard Barrett (screenplay), Susannah Cahalan (memoir)","Chloë Grace Moretz, Thomas Mann, Richard Armitage, Carrie-Anne Moss","The film follows the harrowing experience of a writer struggling with a rare neurological disease from when she first suffers symptoms to the many attempts at diagnosing it and the eventual discovery of the real cause of her illness. Based on the book, 'Brain On Fire', the true story of Susannah Cahalan, a journalist for the New York Times.",English,"USA, Canada, Ireland",N/A,https://m.media-amazon.com/images/M/MV5BNmY0OThiYWQtMTAzYi00N2FiLWFlYWUtZDUzYzJiY2RlNjEwXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,6.6,"18,683",tt3704700,movie,22 Jun 2018,N/A,"Foundation Features, Broad Green Pictures",N/A,True
11,Chalte Chalte,2003,Not Rated,13 Jun 2003,167 min,"Drama, Romance",Aziz Mirza,"Aziz Mirza (story), Robin Bhatt (story), Aziz Mirza (screenplay), Robin Bhatt (screenplay), Pramod Sharma (dialogue), Ashish Kariya (dialogue), Rumi Jaffery (dialogue)","Shah Rukh Khan, Rani Mukerji, Jas Arora, Satish Shah","Raj and Priya come from two different strata of society. While Raj owns a small-time transport business and belongs to the economically middle class section of society, Priya belongs to the affluent class and is on the road to becoming a famous fashion designer. But when a chance encounter brings them together, they are drawn towards each other. Raj has fallen for Priya but Priya is already engaged to marry her childhood friend Sameer. Raj follows her all the way to Greece to woo her. During the journey Priya realizes that Raj is her true soulmate and decides to marry him. But after a year of their marriage, things are not quite rosy as the once-lovestruck couple faces the harsh realities of marriage. Raj runs into financial problems and Priya borrows money from Sameer without telling Raj. When Raj finds out, all hell breaks loose and in an angry fit he accuses Priya of infidelity. This is too much to take for Priya and she leaves their home. Will they reunite or will the discord never be set straight?",Hindi,India,15 nominations.,https://m.media-amazon.com/images/M/MV5BYzU4MjI2MjctMzExMC00NTAxLWFjZWMtODk2YzVjMzhkZmU2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",N/A,6.6,"14,668",tt0346723,movie,30 Nov 2016,"$836,225",Dreamz Unlimited,N/A,True
12,Reality Bites,1994,PG-13,18 Feb 1994,99 min,"Comedy, Drama, Romance",Ben Stiller,Helen Childress,"Winona Ryder, Ethan Hawke, Janeane Garofalo, Steve Zahn","In this study of Generation X manners, Lelaina, the valedictorian of her college class, camcords her friends in a mock documentary of posteducation life. Troy is her best friend, a perpetually unemployed musical slacker. Vickie is a manager at the Gap who worries about the results of an AIDS test, while Sammy has problems grappling with his sexuality. When Lelaina meets Michael, an earnest video executive who takes her homemade video to his MTV-like station, she must decide what she values--the materialism of yuppie Michael or the philosophical musings of Troy.",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZWY1ZGEyY2YtNWZhNS00OGZhLTg3OWEtODE2M2U5NjE4YmUyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.6,"46,665",tt0110950,movie,30 Dec 2015,"$20,982,557","Universal Pictures, Jersey Films",N/A,True
13,Yentl,1983,PG,06 Jan 1984,133 min,"Drama, Musical, Romance",Barbra Streisand,"Jack Rosenthal (screenplay), Barbra Streisand (screenplay), Isaac Bashevis Singer (story ""Yentl,  the Yeshiva Boy"")","Barbra Streisand, Mandy Patinkin, Amy Irving, Nehemiah Persoff","In an Ashkenazic shtetl in Poland, Yentl Mendel is the boyishly klutzy daughter and only child of long widowed Rebbe (""Talmud Teacher"") Mendel, who teaches Talmud (a codification of Jewish Law) to local boys - and to Yentl, but secretly because girls were not allowed to learn the law in those days. When her father dies, Yentl is all alone in the world. She takes the momentous decision to leave the village and - disguised as a boy and calling herself by the name of her late brother, Anshel - seeks and gets admitted to a Yeshiva, to study the texts, traditions, subtleties and complexities of Torah, Talmud, etc. She befriends Avigdor who is engaged to Haddas, but her family discovers his brother committed suicide so they call off the wedding (in case Avigdor possesses the same madness). Anshel then finds ""him""-self in the awkward position of being called into service as substitute bridegroom, so that the wedding can go ahead and Haddas will have a husband. It is a marriage that never gets consummated - apart from the more obvious reasons, because Haddas still wants Avigdor (though she eventually falls in love with Yentl, too). After numerous complications (including Avidor and Yentl falling in love with each other, briefly, after she reveals her secret to him, along with her bosom), the film ends with everybody getting what they always wanted - Haddas and Avigdor to live happily ever after with each other, while Anshel, now Yentl once again, goes off to America to pursue her dream of serious study in Yeshiva, where she will be able to study without needing to hide her identity as a woman.","English, Hebrew","UK, USA",Won 1 Oscar. Another 5 wins & 15 nominations.,https://m.media-amazon.com/images/M/MV5BMTA0ODQzZjItNTk5Mi00ZDc3LWFjZGItZWU0MjM2NzViYjZlXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.6,"12,950",tt0086619,movie,05 Apr 2016,"$40,218,899",United Artists,N/A,True
14,The Immigrant,2013,R,23 May 2014,120 min,"Drama, Romance",James Gray,"James Gray, Ric Menello","Marion Cotillard, Joaquin Phoenix, Jeremy Renner, Dagmara Dominczyk","1921. In search of a new start and the American dream, Ewa Cybulska and her sister Magda sail to New York from their native Poland. When they reach Ellis Island, doctors discover that Magda is ill, and the two women are separated. Ewa is released onto the mean streets of Manhattan while her sister is quarantined. Alone, with nowhere to turn and desperate to reunite with Magda, she quickly falls prey to Bruno, a charming but wicked man who takes her in and forces her into prostitution. And then one day, Ewa encounters Bruno's cousin, the debonair magician Orlando. He sweeps Ewa off her feet and quickly becomes her only chance to escape the nightmare in which she finds herself.","English, Polish, Latin",USA,17 wins & 29 nominations.,https://m.media-amazon.com/images/M/MV5BNjQ2OTAyNTUzNl5BMl5BanBnXkFtZTgwMTkxNzA2MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,6.6,"30,283",tt1951181,movie,05 Dec 2016,"$2,025,328","Worldview Entertainment, Kingsgate Films",N/A,True
15,Midnight Sun,2018,PG-13,23 Mar 2018,91 min,"Drama, Romance",Scott Speer,"Kenji Bando (based on the motion picture screenplay ""Taiyô no uta"" by), Eric Ramiro Kirsten","Bella Thorne, Patrick Schwarzenegger, Rob Riggle, Quinn Shephard","Based on the Japanese film, Midnight Sun centers on Katie, a 17-year-old sheltered since childhood and confined to her house during the day by a rare disease that makes even the smallest amount of sunlight deadly. Fate intervenes when she meets Charlie and they embark on a summer romance.",English,USA,9 nominations.,https://m.media-amazon.com/images/M/MV5BMjg0NjU1MjgyNF5BMl5BanBnXkFtZTgwNzc5NjYyNDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,6.6,"25,386",tt4799066,movie,05 Jun 2018,"$9,561,064",Wrigley Pictures,N/A,True
16,The Lost City,2005,R,26 May 2006,144 min,"Drama, Romance",Andy Garcia,Guillermo Cabrera Infante,"Alfredo Armenteros, Danny Pino, Richard Marquez, Franklin Dominguez","In Havana, Cuba in the late 1950s, a wealthy family, one of whose sons is a prominent night-club owner, is caught in the violent transition from the oppressive regime of Batista to the government of Fidel Castro. Castro's regime ultimately leads the night-club owner to flee to New York.","English, Spanish",USA,2 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BNjM4ODM1MTMzOF5BMl5BanBnXkFtZTcwMzY1NzczMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.6,"9,221",tt0343996,movie,23 Mar 2017,"$2,484,186",CineSon Prods.,N/A,True
17,Black Rain,1989,R,22 Sep 1989,125 min,"Action, Crime, Thriller",Ridley Scott,"Craig Bolotin, Warren Lewis","Michael Douglas, Andy Garcia, Ken Takakura, Kate Capshaw","Two New York cops get involved in a gang war between members of the Yakuza, the Japanese Mafia. They arrest one of their killers and are ordered to escort him back to Japan. In Japan, however, he manages to escape. As they try to track him down, they get deeper and deeper into the Japanese Mafia scene and they have to learn that they can only win by playing the game the Japanese way.","English, Japanese",USA,Nominated for 2 Oscars. Another 1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BYTkwMDA2MmQtODI1MS00MGI5LWE5YTktMTUzYzY4ZDZjMmQ3XkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.6,"50,433",tt0096933,movie,01 Aug 2013,"$46,212,055","Paramount Pictures, Pegasus Film Partners",N/A,True
18,The Big Kahuna,1999,R,19 May 2000,90 min,"Drama, Comedy",John Swanbeck,"Roger Rueff (screenplay), Roger Rueff (play)","Kevin Spacey, Danny DeVito, Peter Facinelli, Paul Dawson","On the last evening of a convention two seen-it-all industrial lubricant salesmen and a youngster from the research department gather in the hotel's hospitality suite to host a delegates party. The main aim is to get the business of one particular big fish. When it becomes apparent that it is the lad who has developed a direct line to the guy, his strong religious beliefs bring him into sharp conflict with his older and more cynical colleagues.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BOGY1YmQ5YjYtNWI5YS00OWNmLTliYTItZDA1YTdlYjg3NTQ4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.6,"13,954",tt0189584,movie,17 Jun 2016,"$3,165,544","Franchise Pictures, Trigger Street Productions",N/A,True
19,Mala Noche,1986,Not Rated,19 Jun 1987,78 min,Drama,Gus Van Sant,"Walt Curtis (story), Gus Van Sant (screenplay)","Tim Streeter, Doug Cooeyate, Ray Monge, Nyla McCarthy","A story of amour fou. Walt is madly in love/lust with a young illegal Mexican immigrant. However, the object of his unrequited affection doesn't even speak any English and finds Walt really strange and undesirable.","English, Spanish",USA,2 wins.,https://m.media-amazon.com/images/M/MV5BMTk5NjIwMjM4NF5BMl5BanBnXkFtZTcwNzI2MTI1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,6.6,"3,785",tt0089537,movie,23 Mar 2017,"$25,386",N/A,N/A,True
20,Operation Mekong,2016,Not Rated,30 Sep 2016,123 min,"Action, Adventure, Crime, Drama, History, Thriller",Dante Lam,"Dante Lam (screenplay by), Kang-Kei Chu (screenplay by), Siu-Kwan Lau (screenplay by), Wai Ching Tam (screenplay by), Eric Lin (screenplay by)","Hanyu Zhang, Eddie Peng, Baoguo Chen, Chun Sun","Two Chinese merchant ships were attacked in Mekong river and 13 crews were killed. Thai policemen found 9 hundred thousand crystal meth on the ships. This new shocked China. Gang Gao, the leader of Narcotics Corps in Yun Nan province was assigned to lead a special team to Golden Triangle to investigate. Cooperated with a informer, Fanxin Wu, Gao discovered that 13 crew member were brutally murdered and framed up. Gao and Wu decided to fight for justice out of China no matter what it takes.","Mandarin, Cantonese, English, Thai, Burmese","China, Hong Kong",18 wins & 16 nominations.,https://m.media-amazon.com/images/M/MV5BZGQ4ZjA2ZTktMGI2NS00OTA2LWJmZjktZDAyYWRjOTBmZjFkXkEyXkFqcGdeQXVyNDQ4MDgzNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,6.6,"4,235",tt6044910,movie,02 May 2017,"$800,012",Bona Film Group,N/A,True
21,"Kumiko, The Treasure Hunter",2014,Not Rated,20 Feb 2015,105 min,Drama,David Zellner,"David Zellner, Nathan Zellner","Rinko Kikuchi, Nobuyuki Katsube, Kanako Higashi, Ichi Kyokaku","A jaded Japanese woman becomes convinced that a satchel of money buried and lost in a fictional film, Fargo, is in fact, real. With a crudely drawn treasure map and limited preparation, she escapes her structured life in Tokyo and embarks on a foolhardy quest across the tundra of Minnesota in search of her mythical fortune.","English, Japanese",USA,10 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMTAzNzI1MTkyNzBeQTJeQWpwZ15BbWU4MDQ0NDU0MzQx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.6,"11,586",tt3263614,movie,10 Aug 2016,"$623,383","Lila 9th Productions, Ad Hominem Enterprises",N/A,True
22,My Brother the Devil,2012,Not Rated,09 Nov 2012,111 min,"Crime, Drama, Romance",Sally El Hosaini,Sally El Hosaini,"James Krishna Floyd, Fady Elsayed, Anthony Welsh, Amira Ghazalla","Mo is a young boy growing up in a traditional Egyptian household, but beyond the front door of the family's modest London flat is a completely different world - the streets of Hackney. The impressionable Mo idolizes his handsome older brother Rashid and wants to follow is his footsteps. However, Rashid, a charismatic and shrewd member of a local gang, wants a different life for his little brother and deals drugs hoping to put Mo through college. One eventful summer, Rashid's sexual awakening forces Mo to confront his own fears and phobias and threatens to tear the brothers apart.",English,UK,10 wins & 16 nominations.,https://m.media-amazon.com/images/M/MV5BMTc5MzE0MTI1N15BMl5BanBnXkFtZTcwMjcwMzYyOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.6,"3,069",tt2076897,movie,30 Nov 2016,"$44,906","Rooks Nest Entertainment, Film-Clinic",N/A,True
23,The Hunger Games: Mockingjay - Part 1,2014,PG-13,21 Nov 2014,123 min,"Action, Adventure, Sci-Fi, Thriller",Francis Lawrence,"Peter Craig (screenplay), Danny Strong (screenplay), Suzanne Collins (adaptation), Suzanne Collins (novel)","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson","With the Games destroyed, Katniss Everdeen, along with Gale, Finnick and Beetee, end up in the so thought ""destroyed"" District 13. Under the leadership of President Coin and the advice of her friends, Katniss becomes the ""Mockingjay"", the symbol of rebellion for the districts of Panem.",English,"USA, Canada, France",21 wins & 32 nominations.,https://m.media-amazon.com/images/M/MV5BMTcxNDI2NDAzNl5BMl5BanBnXkFtZTgwODM3MTc2MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.6,"420,526",tt1951265,movie,26 Aug 2016,"$337,135,885","Color Force, Lionsgate Films",N/A,True
24,Luther,2003,PG-13,26 Sep 2003,123 min,"Biography, Drama, History",Eric Till,"Camille Thomasson, Bart Gavigan","Joseph Fiennes, Alfred Molina, Jonathan Firth, Claire Cox","Biography of Martin Luther, the 16th-century priest who led the Christian Reformation and opened up new possibilities in exploration of faith. The film begins with his vow to become a monk, and continues through his struggles to reconcile his desire for sanctification with his increasing abhorrence of the corruption and hypocrisy pervading the Church's hierarchy. He is ultimately charged with heresy and must confront the ruling cardinals and princes, urging them to make the Scriptures available to the common believer and lead the Church toward faith through justice and righteousness.","English, Latin","Germany, USA, Czech Republic, Italy",4 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTU5NjQ1MTQ0M15BMl5BanBnXkFtZTgwNDUwNzgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.6,"14,843",tt0309820,movie,09 Apr 2019,"$5,791,328",Neue Filmproduktion TV,N/A,True
