,title,quote
48,a clockwork orange,"There was me, that is Alex, and my three droogs, that is Pete, Georgie, and Dim, and we sat in the Korova Milkbar trying to make up our rassoodocks what to do with the evening. The Korova milkbar sold milk-plus, milk plus vellocet or synthemesc or drencrom, which is what we were drinking. This would sharpen you up and make you ready for a bit of the old ultra-violence."
49,a clockwork orange,"Suddenly, I viddied what I had to do, and what I had wanted to do, and that was to do myself in; to snuff it, to blast off for ever out of this wicked, cruel world. One moment of pain perhaps and, then, sleep for ever, and ever and ever."
50,a few good men,"""I strenuously object?"" Is that how it works? Hm? ""Objection."" ""Overruled."" ""Oh, no, no, no. No, I STRENUOUSLY object."" ""Oh. Well, if you strenuously object then I should take some time to reconsider."""
51,a few good men,"We joined the Marines because we wanted to live our lives by a certain code, and we found it in the Corps. Now you're asking us to sign a piece of paper that says we have no honor. You're asking us to say we're not Marines. If a court decides that what we did was wrong, then I'll accept whatever punishment they give. But I believe I was right sir, I believe I did my job, and I will not dishonor myself, my unit, or the Corps so I can go home in six months... Sir."
52,a few good men,Why does a Lieutenant Junior Grade with nine months' experience and a track record for plea bargaining get assigned to a murder case? Would it be so it never sees the inside of a courtroom?
53,a few good men,Is the colonel's underwear a matter of national security?
54,a few good men,"You see Danny, I can deal with the bullets, and the bombs, and the blood. I don't want money, and I don't want medals. What I do want is for you to stand there in that faggoty white uniform and with your Harvard mouth extend me some fucking courtesy. You gotta ask me nicely."
55,a few good men,"Take caution in your tone, Commander. I'm a fair guy, but this fucking heat is making me absolutely crazy."
56,a few good men,"Oh, spare me the psychobabble father bullshit."
57,a few good men,"Oh, hah, I'm sorry, I keep forgetting. You were sick the day they taught law at law school."
58,a few good men,So this is what a courtroom looks like.
59,a few good men,What do you wanna discuss now? My favorite color?
60,a few good men,"Oh, now I see what you're saying. It had to be Professor Plum in the library with the candlestick."
61,a few good men,"Maybe, if we work at it, we can get Dawson charged with the Kennedy assassination."
62,a few good men,Whatever happened to saluting an officer when he leaves the room?
63,a hard day's night,You don't know what this means to me. If you hadn't come back it would have meant... the epilogue or the news... in Welsh... for life!
64,a hard day's night,He's sex obsessed! The older generation's leading our nation in a state of galloping ruin!
65,a hard day's night,"God knows what you've unleashed on the unsuspecting South. It'll be wine, women, and song all the way with Ringo when he gets the taste for it."
66,a hard day's night,"He's very fussy about his drums, you know. They loom large in his legend."
67,a hard day's night,"Hey, you won't interfere with the basic rugged concept of me personality, will you madam?"
68,a hard day's night,I'm going out parading before it's too late!
69,a hard day's night,"There you go, hiding behind a smokescreen of bourgeois cliches."
70,a hard day's night,"Sorry we hurt your field, mister."
71,a hard day's night,"Get me a bottle of milk and some tranquilizers. I see it all now, it's a plot... a plot..."
72,a hard day's night,I now declare this bridge open!
73,a nightmare on elm street,"One, two, Freddy's coming for you. / Three, four, better lock your door. / Five, six, grab your crucifix. / Seven, eight, gonna stay up late. / Nine, ten, never sleep again."
74,a nightmare on elm street,"I'm going to punch out your ugly lights, whoever you are!"
75,a nightmare on elm street,I don't know what's real anymore.
76,a nightmare on elm street,Guys can have nightmares too ya know. Ya ain't got a corner on the market or somethin'.
77,a nightmare on elm street,Maybe we're gonna have a big earthquake. They say things get really weird just before.
78,a nightmare on elm street,"Tina, you either gotta cut your fingernails or ya gotta stop that kind of dreaming. One or the other."
79,a nightmare on elm street,"Okay Krueger, we play in your court."
80,a nightmare on elm street,"And now I lay me down to sleep, I pray the lord my soul to keep. And if I die before I wake, I pray the lord my soul to take."
81,a nightmare on elm street,"Oh, God, I could be bounded in a nutshell, and count myself a king of infinite space, were it not that I have bad dreams."
82,a nightmare on elm street,Whatever you do don't fall asleep.
83,a nightmare on elm street,"I'm your boyfriend now, Nancy."
84,a nightmare on elm street,"Oh, man. Midnight. Baseball bats and boogeymen. Beautiful."
85,a nightmare on elm street,"I probably could have saved her if I'd have moved sooner. But I thought it was just another nightmare, like the one I had the night before. There was... there was this guy; he had knives for fingers."
86,a nightmare on elm street,"Nancy, you dreamed about the same creep I did."
87,a nightmare on elm street,"You gotta believe in something, right?  I'm gonna be here when you wake up. You're gonna make it."
88,a nightmare on elm street 3: dream warriors,"Ain't gonna dream no more, no more. Ain't gonna dream no more. All night long I sing this song. Ain't gonna dream no more."
89,a nightmare on elm street 3: dream warriors,"Do you like my body, Joey?"
90,a nightmare on elm street 3: dream warriors,"If your only faith is science, doctor, it may be you that's laid to rest."
91,a nightmare on elm street 3: dream warriors,This is where he takes us.
92,a nightmare on elm street 3: dream warriors,"Phillip, wake up... Have a nice stroll, asshole."
93,a nightmare on elm street 3: dream warriors,Let's snuff the sucka.
94,a nightmare on elm street 3: dream warriors,Hi. Welcome to the snake pit.
95,a nightmare on elm street 3: dream warriors,In my dreams I can walk. My legs are strong. In my dreams I am the Wizard Master.
96,a nightmare on elm street 3: dream warriors,"You stupid bitch, you're killing us... YOU'RE KILLING US."
97,a nightmare on elm street 3: dream warriors,"It's now or never. I'm not gonna kid you, this is as dangerous as it gets. If you die in this dream it's for real. Nobody has to go in that doesn't want to."
98,a nightmare on elm street 3: dream warriors,My God. You were his mother.
99,a nightmare on elm street 4: the dream master,I wanna draw some blood!
100,a nightmare on elm street 4: the dream master,"You can check in, but you can't check out."
101,a nightmare on elm street 4: the dream master,"Welcome to Wonderland, Alice."
102,a nightmare on elm street 4: the dream master,You shouldn't have buried me. I'm not dead.
103,a nightmare on elm street 4: the dream master,"This ain't my dreamland. Kristen! If you're here, I'm gonna pound your ass!"
104,a nightmare on elm street 4: the dream master,A true warrior needs no eyes.
105,a nightmare on elm street 4: the dream master,"If the food don't kill ya, the service will."
106,a nightmare on elm street 4: the dream master,"Ninja warriors have calm.  Find your balance, Rick!"
107,a nightmare on elm street 4: the dream master,"You think you've got what it takes? I've been guarding my gate for a long time, bitch."
108,a nightmare on elm street 4: the dream master,"Oh, hi, handsome. Care for some buns?"
109,a nightmare on elm street 4: the dream master,"All the towns in America, and I gotta move to The Bermuda Triangle. That's great."
110,a nightmare on elm street 4: the dream master,Joey! Kincaid! Help me!
111,a nightmare on elm street 4: the dream master,How sweet. Fresh meat.
112,a nightmare on elm street 4: the dream master,How's this for a wet dream?
113,a nightmare on elm street 4: the dream master,"All right, I'm gonna punch his ticket in."
114,a nightmare on elm street part 2: freddy's revenge,"Go ahead, Jesse. Try it on for size."
115,a nightmare on elm street part 2: freddy's revenge,Fight him. You are not afraid of him! He doesn't even exist!
116,a nightmare on elm street part 2: freddy's revenge,He can't fight me. I'm him.
117,a nightmare on elm street part 2: freddy's revenge,Then what is it? Bird rabies? It's that cheap seed you been buying.
118,a nightmare on elm street part 2: freddy's revenge,"Schneider got wasted last night. He must have been working late. Some maniac sliced him up like a kielbasa, hacked him in the shower. Got bloody footprints all over the place."
119,a nightmare on elm street part 2: freddy's revenge,"If you want to play with animals, Mr. Walsh, join the circus."
120,a nightmare on elm street part 2: freddy's revenge,"Kill me, Lisa. Please kill me... I love you, Lisa."
121,a nightmare on elm street part 2: freddy's revenge,"Wake up, little girl."
122,a nightmare on elm street part 2: freddy's revenge,"Okay, I believe you. You've had some scary dreams okay?"
123,a nightmare on elm street part 2: freddy's revenge,Mommy? Why can't Jesse wake up like everybody else?
124,a nightmare on elm street: the dream child,Why don't you shut up and let her talk? I mean two of us have died in the past two days. Does that just strike you as particularly normal?
125,a nightmare on elm street: the dream child,"... seven, eight, better stay awake. Nine, ten, he's back again."
126,a nightmare on elm street: the dream child,"All right, Krueger... this time it's for keeps!"
127,a nightmare on elm street: the dream child,"Hey, Danny, better not dream and drive."
128,a nightmare on elm street: the dream child,Nothing but the best for Greta!
129,a nightmare on elm street: the dream child,Kids... always a disappointment.
130,a nightmare on elm street: the dream child,Yee-haw! This boy feels the need for speed.
131,a perfect world,"You know, Phillip, you have a goddamned red, white and blue American right to eat cotton candy and ride roller coasters."
132,a perfect world,You're a fucking crazy man.
133,a perfect world,I need me a time machine with a loud radio to take me where I'm going.
134,a serious man,Sy Ableman was a serious man.
135,a serious man,I feel like the carpet's been yanked out from under me.
136,a serious man,I don't want Santana Abraxis! I've just been in a terrible auto accident!
137,a walk to remember,"Our love is like the wind... I can't see it, but I sure can feel it."
138,a walk to remember,All I know is... you're beautiful.
139,above the law,"This maniac should be wearing a number, not a badge."
140,absolute power,"This person, they... they go in the front door, then they go out a window and down a rope in the middle of the night?  If I could do something like that, I'd be the star of my A.A.R.P. meetings."
141,absolute power,Your life could be a whole lot simpler if you could learn to operate a VCR.
142,absolute power,Do you know what it's like to be the only kid in the first grade who got to talk about visiting day?
143,absolute power,"Kate, he's on the run and he's scared. And he's right to be scared, 'cause he's gonna get caught. You don't know the heat on this."
144,absolute power,"Remember, tomorrow is promised to no one."
145,absolute power,"I'm your substitute driver tonight, Mr. Sullivan."
146,absolute power,"You work with your hands, don't you?"
147,absolute power,"I'd been married to my Rebecca for forty-seven years. When she died, I decided I never wanted that pain again. One thing I knew about Christy, she was going to outlive me."
148,absolute power,"Miss Russell, I should've called the police that night but I was weak. You convinced me to stay silent. I regret that. Know this: every time I see your face, I wanna rip your throat out."
149,absolute power,"So, do you want my signed confession now, or after coffee?"
150,ace ventura pet detective,Warning. Assholes are closer than they appear.
151,ace ventura pet detective,Your gun is digging into my hip.
152,ace ventura pet detective,"Be careful with that phone, Lieutenant. In time you could develop a tumour."
153,ace ventura pet detective,If I'm not back in five minutes... just wait longer.
154,ace ventura pet detective,"It was all that Dan Marino's fault, everyone knows that. If he had held the ball, laces out, like he was supposed to, Ray would never have missed that kick. Dan Marino should die of gonorrhea and rot in hell. Would you like a cookie, son?"
155,ace ventura pet detective,"I need some refreshments, Dan. Would you like some refreshments, Dan? I'll be right back, Dan."
156,ace ventura pet detective,"Hey Ventura, Ventura. Make any good collars lately, or were they leashes."
157,ace ventura pet detective,Who let Dr. Dolittle in?
158,ace ventura pet detective,"That was a close one ladies and gentleman. Unfortunately in every contest, there must be a loser. Loo-hoo-ser-her."
159,ace ventura pet detective,"Uh oh, I think I heard a toilet flush. Maybe somebody lost a turtle."
160,ace ventura pet detective,"Pet Detective:  Howdy Lurch. Ace Ventura, Pet Detective."
161,ace ventura pet detective,Oh there is just one more thing Lieutenant...
162,adaptation,See her? I fucked her up the ass.
163,adaptation,"Look, I'll tell you a story, all right? I once feel deeply, you know, profoundly in love with tropical fish. Had 60 goddamn fish tanks in my house. I skin dived to find just the right ones. Anisotremus virginicus, Holdacanthus ciliaris, Chaetodon capistratus. You name it. Then one day I say, ""fuck fish"". I renounce fish. I vow never to set foot in that ocean again. That's how much ""fuck fish""."
164,adaptation,I suppose I do have one unembarrassed passion. I want to know what it feels like to care about something passionately.
165,adaptation,"Okay, well here's the twist. We find out that, that the killer really suffers from multiple personality disorder, right? See, he's actually really the cop and the girl. All of them are him. Isn't that fucked up?"
166,adaptation,"John Leroche is a tall guy, skinny as a stick, pale eyes, slouch-shouldered, sharply handsome, despite the fact he's missing all his front teeth."
167,adaptation,I'd fuck her up the ass!
168,adaptation,"There are too many ideas and things and people. Too many directions to go. I was starting to believe the reason it matters to care passionately about something, is that it whittles the world down to a more manageable size."
169,adaptation,You and I share the same DNA. Is there anything more lonely than that?
170,affliction,"You will say that I should have known terrible things were about to happen. You will say that I was responsible. But even so, what could I have done by then? Wade lived on the edge of his emotions. He was always first to receive the brunt of our father's anger. He had no perspective to retreat to, even in a crisis."
171,affliction,This is the story of my older brother's strange criminal behaviour and disappearance. We who loved him no longer speak of Wade. It's as if he never existed.
172,affliction,Not a goddamn one of you is worth a hair on that good woman's head!
173,affliction,"I've got sons, goddamn it! By God have I got sons!"
174,affliction,I think there's some dirty business going on in this town.
175,affliction,Christ Sally! You are such a good person. Capital G! By God you are... you are so much better than I am. I am no goddamn good at all. And you... you are truly a good person. Like a fucking saint!
176,affliction,"You know I get the feeling like a whipped dog some days. Some night I'm gonna bite back, I swear!"
177,affliction,You know she won't be here for a half hour. You think you can stand it here that long?
178,affliction,That's what I love about this small town. Everyone knows everyone.
179,after school special,"The male deposits his seed, and moves on. Probably to a younger, more desirable female. One who doesn't have any issues, whatever that means."
180,agnes of god,As much as God loves you
181,agnes of god,"I don't know the meaning behind the song she sang. Perhaps it was a song of seduction, and the father was a field hand. Perhaps the song was simply a lullaby she remembered from many years ago, and the father was hope, and love, and desire and a belief in miracles. I want to believe that she was blessed. And I do miss her. And I hope she's left something; some little part of herself with me. That would be miracle enough, wouldn't it?"
182,agnes of god,As much as Mother Miriam loves me?
183,air force one,Liberty Two Four is changing call signs - Liberty Two Four is now Air Force One!
184,air force one,". No matter what happens, we land this aircraft is that understood?"
185,air force one,"Mr. President, welcome aboard, sir!"
186,air force one,How the hell did they get Air Force One?
187,airplane,"The oil pressure. I forgot to check the oil pressure! When Kramer hears about this, the shit's going to hit the fan!"
188,airplane,"I know but this guy has no flying experience at all. He's a menace to himself and everything else in the air... yes, birds too."
189,airplane,"Joey, have you ever been in a... in a Turkish prison?"
190,airplane,"Shanna, they bought their tickets, they knew what they were getting into. I say, let 'em crash."
191,airplane,I just want to tell you both good luck. We're all counting on you.
192,airplane,"The tower, the tower! Rapunzel, Rapunzel!"
193,airplane,"Where did you get that dress, it's awful, and those shoes and that coat, jeeeeez!"
194,airplane,He's all over the place! Nine hundred feet up to 1300 feet. What an asshole!
195,airplane,I haven't felt this awful since we saw that Ronald Reagan film.
196,airplane,"No, we can't do that, the risk of a flame-out is too great. Keep 'em at 24,000. No, feet."
197,airplane,"No wonder you're upset. She's lovely. And a darling figure... supple, pouting breasts... firm thighs. It's a shame you two don't get along."
198,airplane,"Well, I'll give him another twenty minutes, but that's it!"
199,airplane,"The life of everyone on board depends upon just one thing: finding someone back there who can not only fly this plane, but who didn't have fish for dinner."
200,airplane,"Extremely serious. It starts with a slight fever and dryness of the throat. When the virus penetrates the red blood cells, the victim becomes dizzy, begins to experience an itchy rash, then the poison goes to work on the central nervous system, severe muscle spasms followed by the inevitable grueling.  At this point, the entire digestive system collapses accompanied by uncontrollable flatulence  Until finally, the poor bastard is reduced to a quivering wasted piece of jelly."
201,airplane ii: the sequel,"I'm gonna go get Ted, just don't fall apart on me now!"
202,aladdin,"We just keep running into each other, don't we, street rat?"
203,aladdin,"You know Al, I'm getting really -  I don't think you're him."
204,aladdin,"Oooooh, nice shot, Jafa-"
205,aladdin,"You've heard of the golden rule, haven't you? Whoever has the gold makes the rules."
206,aladdin,Who disturbs my slumber?
207,aladdin,"Ladies and gentlemen, a warm Agrabah welcome for Sorceror Jafar!"
208,aladdin,"Look at that, Abu. It's not everyday you see a horse with two rear ends."
209,aladdin,"You're speechless, I see. A fine quality in a wife."
210,aladdin,I don't know where she gets it from. Her mother wasn't nearly so picky.
211,ali,"Don King talks black, lives white and thinks green."
212,ali,"Float like a butterfly, sting like a bee His hands can't hit what his eyes can't see."
213,ali,"What's my name? What's my name, motherfucker!"
214,ali,"I ain't draft dodging. I ain't burning no flag. I ain't running to Canada. I'm staying right here. You want to send me to jail? Fine, you go right ahead. I've been in jail for 400 years. I could be there for 4 or 5 more, but I ain't going no 10,000 miles to help murder and kill other poor people. If I want to die, I'll die right here, right now, fightin' you, if I want to die. You my enemy, not no Chinese, no Vietcong, no Japanese. You my opposer when I want freedom. You my opposer when I want justice. You my opposer when I want equality. Want me to go somewhere and fight for you? You won't even stand up for me right here in America, for my rights and my religious beliefs. You won't even stand up for my right here at home."
215,ali,"I'm the only normal one left around here. I'm a black Jew, I'm half drunk and I cant read."
216,ali,Ain't no Vietcong ever called me nigger.
217,ali,You look like the heavyweight champion of pimps.
218,ali,"I'm gonna give 1000 dollars to the man who brings me Howard Cosell's toupee, dead or alive."
219,alien,I found it. Just short of Zeta II Reticuli. We haven't reached the Outer Rim yet.
220,alien,"This is commercial towing vehicle Nostromo out of the Solomons, registration number 1-8-0-niner-2-4-6-0-niner. Calling Antarctica traffic control. Do you read me? Over."
221,alien nation,Your mother mates out of season.
222,alien nation,"If the drug is here, we must destroy it!"
223,alien nation,"It is like your name... Sykes. I'm sure it doesn't bother you at all that it sounds like ""ss'ai k'ss,"" two words in my language which mean ""excrement"" and ""cranium.""  Shithead."
224,alien resurrection,"Father's dead, asshole. Intruder on level one. All aliens, please proceed to level one."
225,alien resurrection,"You are... a beautiful, beautiful, butterfly."
226,alien resurrection,"She is severely fuckable, ain't she?"
227,alien resurrection,"Don't push me, little Call. You hang with us for a while, you'll find out I am not the man with whom to fuck!"
228,alien resurrection,Don't ever touch me!  Ever!
229,alien resurrection,"You're a thing, a construct. They grew you in a fucking lab."
230,alien resurrection,My mommy always said there were no monsters. No real ones. But there are.
231,alien resurrection,"Hey Christie, do me a favour. When we hit the surface on the other side, no backstroke, okay!"
232,aliens,"We'd better get back, 'cause it'll be dark soon, and they mostly come at night... mostly."
233,aliens,"Hey, maybe you haven't been keeping up on current events, but we just got our asses kicked, pal!"
234,aliens,"In nineteen minutes, this area's gonna be a cloud of vapor the size of Nebraska."
235,aliens,"You always were an asshole, Gorman!"
236,aliens,Maybe we got 'em demoralized.
237,aliens,Outstanding. Now all we need is a deck of cards.
238,aliens,"You know, Burke, I don't know which species is worse. You don't see them fucking each other over for a goddamn percentage."
239,aliens,"Hey, Hicks. Man, you look just like I feel."
240,aliens,"Bio-readouts are all in the green, looks like she's alive. Well, there goes our salvage, guys."
241,aliens,"""Surgically removed before embryo implantation. Subject: Marachek, John J., died during the procedure."" They killed him taking it off."
242,aliens,Stop your grinnin' and drop your linen!
243,aliens,"I guess she don't like the cornbread, either."
244,aliens,"Hudson, run a bypass."
245,all about eve,"This beats all records for running, standing or jumping gall."
246,all about eve,What a story! Everything but the bloodhounds snappin' at her rear end.
247,all about eve,"There never was, and there never will be, another like you."
248,all about eve,Peace and quiet is for libraries!
249,all about eve,"Nice speech, Eve. But I wouldn't worry too much about your heart. You can always put that award where your heart ought to be."
250,all about eve,The bed looks like a dead animal act.
251,all about eve,"That I should want you at all suddenly strikes me as the height of improbability. But that in itself is probably the reason: You're an improbable person, Eve, and so am I. We have that in common. Also our contempt for humanity and inability to love and be loved, insatiable ambition, and talent. We deserve each other."
252,all about eve,"Fasten your seatbelts, it's going to be a bumpy night!"
253,all about eve,"Too bad, we're gonna miss the third act. They're gonna play it offstage."
254,all about eve,"Margo Channing is a star of the theater. She made her first stage appearance at the age of four in Midsummer Night's Dream. She played a fairy and entered, quite unexpectedly, stark naked. She has been a star ever since. Margo is a great star, a true star. She never was or will be anything less or anything else."
255,all about eve,Heaven help me. I love a psychotic!
256,all about eve,"The atmosphere is very MacBeth-ish... what has, or is about to, happen?"
257,all about eve,Where is Princess... fire and music?
258,all about eve,"There are very few moments in life as good as this. Let's remember it. To each of us and all of us, never have we been more close, may we never be farther apart."
259,all about eve,Why do they always look like unhappy rabbits?
260,all about eve,I detest cheap sentiment.
261,all about eve,"The minor awards, as you can see, have already been presented. Minor awards are for such as the writer and director, since their function is merely to construct a tower so that the world can applaud a light which flashes on top of it. And no brighter light has ever dazzled the eye than Eve Harrington."
262,all about eve,"We all come into this world with our little egos equipped with individual horns. If we don't blow them, who else will?"
263,all about eve,Don't cry. Just score it as an incomplete forward pass.
264,all about eve,"Funny business, a woman's career - the things you drop on your way up the ladder so you can move faster. You forget you'll need them again when you get back to being a woman. That's one career all females have in common, whether we like it or not: being a woman. Sooner or later, we've got to work at it, no matter how many other careers we've had or wanted. And in the last analysis, nothing's any good unless you can look up just before dinner or turn around in bed, and there he is. Without that, you're not a woman. You're something with a French provincial office or a book full of clippings, but you're not a woman. Slow curtain, the end."
265,all about eve,Let the rest of the world beat their brains out for a buck. It's friends that count. And I got friends.
266,all about eve,"We all have abnormalities in common. We're a breed apart from the rest of humanity, we theatre folk. We are the original displaced personalities."
267,all about eve,You're maudlin and full of self-pity. You're magnificent!
268,all about eve,"Where were we going that night, Lloyd and I? Funny, the things you remember and the things you don't."
269,all about eve,"Lloyd, honey, be a playwright with guts. Write me one about a nice normal woman who just shoots her husband."
270,all about eve,"You're not much of a bargain, you know. You're conceited and thoughtless and messy."
271,all about eve,"Real diamonds in a wig, the world we live in."
272,all about eve,"You be the host. It's your party. Happy birthday, welcome home, and we who are about to die salute you."
273,all about eve,"And you, I take it, are the Paderewski who plays his concerto on me, the piano?"
274,all about eve,"Bill's thirty-two. He looks thirty-two. He looked it five years ago, he'll look it twenty years from now. I hate men."
275,all about eve,"I'll never forget this night as long as I live, and I'll never forget you for making it possible."
276,all about eve,"Those of you who do not read, attend the theater, listen to unsponsored radio programs, or know anything of the world in which you live, it is perhaps necessary to introduce myself. My name is Addison DeWitt. My native habitat is the theater. In it, I toil not, neither do I spin. I am a critic and commentator. I am essential to the theater."
277,all the king's men,It could have been - whole world - Willie Stark.
278,all the king's men,"Anne, Burden's Landing is a place on the Moon. It isn't real. It doesn't exist. It's me pretending to live on what I earn. It's my mother trying to keep herself young and drinking herself old. It's you and Adam living in this house as though your father were still alive. It's an old man like the judge dreaming of the past."
279,all the king's men,"Now, shut up! Shut up, all of you! Now listen to me, you hicks. Yeah, you're hicks too, and they fooled you a thousand times like they fooled me. But this time, I'm going to fool somebody. I'm going to stay in this race. I'm on my own and I'm out for blood."
280,all the king's men,I'm the hick they were gonna use to split the hick vote. But I'm standing right here now on my hind legs! Even a dog can learn to do that. Are you standing on your hind legs? Have you learned to do that yet?
281,all the king's men,"They tried to ruin me, but they are ruined. They tried to ruin me because they didn't like what I have done. Do you like what I've done?"
282,all the king's men,"He'll ditch everybody in the whole world, because that's what Willie wants. Nobody in the world but him!"
283,all the king's men,"Remember, it is not I who have won, but you. Your will is my strength, and your need is my justice, and I shall live in your right and your will. And if any man tries to stop me from fulfilling that right and that will, I'll break him. I'll break him with my bare hands, for I have the strength of many."
284,all the king's men,I'm going to run. You can't stop me. I'm going to run even if I don't get a single vote!
285,all the king's men,You throw money around like it was money.
286,all the king's men,You wanna know what my platform is? Here it is. I'm gonna soak the fat boys and spread it out thin.
287,all the president's men,"Now hold it, hold it. We're about to accuse Haldeman, who only happens to be the second most important man in this country, of conducting a criminal conspiracy from inside the White House. It would be nice if we were right."
288,all the president's men,"All non-denial denials. They doubt our ancestry, but they don't say the story isn't accurate."
289,all the president's men,Listen... I'm tired of your chickenshit games! I don't want hints... I need to know what you know.
290,almost famous,Please don't give him any more acid.
291,almost famous,Look at this: an entire generation of Cinderellas and there's no glass slipper.
292,almost famous,Adolescence is a marketing tool.
293,almost famous,I never said I was a golden god... or did I?
294,almost famous,"When and where does this ""real world"" occur?"
295,almost famous,"We are not Groupies. Groupies sleep with rockstars because they want to be near someone famous. We are here because of the music, we inspire the music. We are Band Aids."
296,almost famous,"She Changed everything. She was the one that said ""No more sex. No more exploiting our bodies and hearts."" Just blow-jobs, and that's it!"
