Cast;Country;Country - Split 1;Country - Split 2;Date Added;Date Added (copy);Date Added (group);Description;Director;Duration;Genre;Genre_Color;Listed In;Listed In - Split 2;Rating;Release Year;Release Year (group);Show Id;Title;Type;1;Count_Country;Count_Title
Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough;United States;United States;;20/10/2017;20/10/2017;2017-10-20;A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.;Zak Hilditch;103 min;Dramas;A;Dramas, Thrillers;Thrillers;TV-MA;2017;2010's;s11;1922;Movie;100;1;1
Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach;Poland, United States;Poland;United States;30/11/2018;30/11/2018;2018-11-30;In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.;;1 Season;Crime;A;Crime TV Shows, International TV Shows, TV Dramas;TV;TV-MA;2018;2010's;s12;1983;TV Show;100;1;1
;Mexico;Mexico;;17/05/2019;17/05/2019;2019-05-17;Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.;Diego Enrique Osorno;1 Season;Crime;A;Crime TV Shows, Docuseries, International TV Shows;TV;TV-MA;2019;2010's;s13;1994;TV Show;100;1;1
Artiwara Kongmalai;Thailand;Thailand;;01/03/2019;01/03/2019;2019-03-01;This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.;Nottapon Boonprakob;89 min;Documentaries;A;Documentaries, International Movies, Sports Movies;International;TV-MA;2018;2010's;s14;2,215;Movie;100;1;1
Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman;United States;United States;;19/03/2020;19/03/2020;2020-03-19;Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.;John Suits;91 min;Independent;A;Independent Movies, Sci-Fi & Fantasy, Thrillers;Movies,;R;2019;2010's;s15;3022;Movie;100;1;1
Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole, Fabian Adeoye Lojede, Nick Rhys, Kunle Afolayan, Colin David Reese, Ibrahim Shatta, Femi Adebayo, Kanayo O. Kanayo, Lawrence Stubbings, Ademola Adedoyin;Nigeria;Nigeria;;01/09/2019;01/09/2019;2019-09-01;Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.;Kunle Afolayan;149 min;Dramas;A;Dramas, International Movies, Thrillers;International;TV-14;2014;2010's;s16;1-Oct;Movie;100;1;1
Shahd El Yaseen, Shaila Sabt, Hala, Hanadi Al-Kandari, Salma Salem, Ibrahim Al-Harbi, Mahmoud Boushahri, Yousef Al Balushi, Ghorour, Abdullah Al-bloshi;;;;20/03/2019;20/03/2019;2019-03-20;As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy.;;1 Season;International;A;International TV Shows, TV Dramas;TV;TV-14;2018;2010's;s17;9-Feb;TV Show;100;0;1
Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith;Norway, Iceland, United States;Norway;Iceland;10/10/2018;10/10/2018;2018-10-10;After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.;Paul Greengrass;144 min;Dramas;A;Dramas, Thrillers;Thrillers;R;2018;2010's;s18;22-Jul;Movie;100;1;1
Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar;India;India;;29/03/2019;29/03/2019;2019-03-29;On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.;Swapnaneel Jayakar;124 min;Comedies;A;Comedies, Dramas, Independent Movies;Dramas,;TV-14;2019;2010's;s19;15-Aug;Movie;100;1;1
Lee Dixon, Ian Wright, Paul Merson;United Kingdom;United Kingdom;;16/05/2018;16/05/2018;2018-05-16;Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.;;87 min;Sports;A;Sports Movies;Movies;TV-PG;2017;2010's;s20;'89;Movie;100;1;1
Geetanjali Thapa, Zain Khan Durrani, Shray Rai Tiwari, Mona Ambegaonkar, Chandreyee Ghosh, Barun Chanda, Saheb Bhattacharjee, Shefali Chauhan;India;India;;01/09/2018;01/09/2018;2018-09-01;After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond.;Onir;110 min;Dramas;A;Dramas, Independent Movies, International Movies;Independent;TV-14;2018;2010's;s21;​​Kuch Bheege Alfaaz;Movie;100;1;1
Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha;India;India;;15/09/2018;15/09/2018;2018-09-15;A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers.;Vijay Milton;128 min;Action;A;Action & Adventure, Dramas, International Movies;&;TV-14;2018;2010's;s22;Goli Soda 2;Movie;100;1;1
Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar;India;India;;15/09/2018;15/09/2018;2018-09-15;A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks.;Santwana Bardoloi;117 min;Dramas;A;Dramas, International Movies;International;TV-14;2017;2010's;s23;​Maj Rati ​​Keteki;Movie;100;1;1
Soumitra Chatterjee, Prasenjit Chatterjee, Indrani Haldar, Sudipta Chakraborty, Suman Banerjee, Gargi Roychowdhury;India;India;;15/09/2018;15/09/2018;2018-09-15;When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them.;Atanu Ghosh;100 min;Dramas;A;Dramas, International Movies;International;TV-14;2017;2010's;s24;​Mayurakshi;Movie;100;1;1
Bryson Baugus, Emily Neves, Blake Shepard, Patrick Poole, Luci Christian, Adam Gibbs, Masakazu Morita, Fumiko Orikasa, Takahiro Sakurai, Hiroaki Miura, Satomi Sato, Katsuyuki Konishi;Japan;Japan;;23/01/2020;23/01/2020;2020-01-23;Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.;;2 Seasons;Anime;A;Anime Series, International TV Shows;Series,;TV-14;2020;2020's;s25;​SAINT SEIYA: Knights of the Zodiac;TV Show;100;1;1
;United States;United States;;30/06/2016;30/06/2016;2016-06-30;This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.;Lyric R. Cabral, David Felix Sutcliffe;84 min;Documentaries;A;Documentaries;;NR;2015;2010's;s26;(T)ERROR;Movie;100;1;1
;United States;United States;;12/08/2020;12/08/2020;2020-08-12;This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?;;1 Season;Reality;A;Reality TV;TV;TV-MA;2020;2020's;s27;(Un)Well;TV Show;100;1;1
Yoo Ah-in, Park Shin-hye;South Korea;South Korea;;08/09/2020;08/09/2020;2020-09-08;As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.;Cho Il;99 min;Horror;A;Horror Movies, International Movies, Thrillers;Movies,;TV-MA;2020;2020's;s28;#Alive;Movie;100;1;1
Helen Mirren, Gengher Gatti;Italy;Italy;;01/07/2020;01/07/2020;2020-07-01;Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.;Sabina Fedeli, Anna Migotto;95 min;Documentaries;A;Documentaries, International Movies;International;TV-14;2019;2010's;s29;#AnneFrank - Parallel Stories;Movie;100;1;1
Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers;United States;United States;;17/04/2020;17/04/2020;2020-04-17;Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.;;1 Season;TV;A;TV Comedies;Comedies;TV-MA;2020;2020's;s30;#blackAF;TV Show;100;1;1
;Canada;Canada;;05/02/2020;05/02/2020;2020-02-05;This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.;Michael Margolis;90 min;Documentaries;A;Documentaries, International Movies;International;TV-14;2020;2020's;s31;#cats_the_mewvie;Movie;100;1;1
Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila;Indonesia;Indonesia;;21/05/2020;21/05/2020;2020-05-21;Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.;Rako Prijanto;102 min;Dramas;A;Dramas, International Movies, Romantic Movies;International;TV-G;2018;2010's;s32;#FriendButMarried;Movie;100;1;1
Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata;Indonesia;Indonesia;;28/06/2020;28/06/2020;2020-06-28;As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.;Rako Prijanto;104 min;Dramas;A;Dramas, International Movies, Romantic Movies;International;TV-G;2020;2020's;s33;#FriendButMarried 2;Movie;100;1;1
Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis;United States;United States;;08/09/2017;08/09/2017;2017-09-08;When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.;Fernando Lebrija;99 min;Comedies;A;Comedies;;TV-14;2017;2010's;s34;#realityhigh;Movie;100;1;1
Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke;Canada;Canada;;10/04/2019;10/04/2019;2019-04-10;A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.;Michael Kennedy;105 min;Comedies;A;Comedies, Romantic Movies;Romantic;TV-14;2018;2010's;s35;#Roxy;Movie;100;1;1
;United States;United States;;01/12/2016;01/12/2016;2016-12-01;This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.;Robert McCullough Jr.;56 min;Documentaries;A;Documentaries, Sports Movies;Sports;TV-PG;2016;2010's;s36;#Rucker50;Movie;100;1;1
Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu;Romania;Romania;;01/06/2019;01/06/2019;2019-06-01;Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.;Cristina Jacob;125 min;Comedies;A;Comedies, Dramas, International Movies;Dramas,;TV-MA;2014;2010's;s37;#Selfie;Movie;100;1;1
Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut;Romania;Romania;;01/06/2019;01/06/2019;2019-06-01;After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.;Cristina Jacob;119 min;Comedies;A;Comedies, Dramas, International Movies;Dramas,;TV-MA;2016;2010's;s38;#Selfie 69;Movie;100;1;1
Chutavuth Pattarakampol, Sheranut Yusananda, Nichaphat Chatchaipholrat, Thassapak Hsu;;;;30/03/2019;30/03/2019;2019-03-30;When two brothers fall for two sisters, they quickly realize the age differences between them are too big to ignore.;;1 Season;International;A;International TV Shows, Romantic TV Shows, TV Comedies;TV;TV-14;2016;2010's;s39;แผนร้ายนายเจ้าเล่ห์;TV Show;100;0;1
Estefanía de los Santos, Secun de la Rosa, Terele Pávez, María Alfonsa Rosso, Mariola Fuentes, Alfonso Sánchez, Paz Vega, Marta Torné, Concha Galán;Spain;Spain;;19/07/2019;19/07/2019;2019-07-19;When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.;Frank Ariza;81 min;Comedies;A;Comedies, International Movies;International;TV-MA;2019;2010's;s40;¡Ay, mi madre!;Movie;100;1;1
Erdem Yener, Ayhan Taş, Emin Olcay, Muharrem Gülmez, Elif Nur Kerkük, Tarık Papuççuoğlu, Suzan Aksoy, Doğa Konakoğlu, Esin Eden, Deniz Özerman;Turkey;Turkey;;10/03/2017;10/03/2017;2017-03-10;The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.;Muharrem Gülmez;97 min;Comedies;A;Comedies, International Movies;International;TV-14;2015;2010's;s41;Çarsi Pazar;Movie;100;1;1
Jóhannes Haukur Jóhannesson, Ágústa Eva Erlendsdóttir, Elma Stefania Agustsdottir, Thor Kristjansson, Anna Gunndís Guðmundsdóttir, Sara Dögg Ásgeirsdóttir, Þröstur Leó Gunnarsson, Jóhann Sigurðarson, Sveinn Geirsson, Arnar Páll Harðarson;Iceland;Iceland;;27/03/2018;27/03/2018;2018-03-27;Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.;Óskar Thór Axelsson;106 min;Horror;A;Horror Movies, International Movies;Movies,;TV-MA;2017;2010's;s42;Ég man þig;Movie;100;1;1
Ayça Erturan, Aydan Taş, Ayşegül Akdemir, Burcu Gönder, Bülent Emrah Parlak, Büşra Pekin, Emre Canpolat, Ersin Korkut, Eser Yenenler, Gizem Tuğral, Gülhan Tekin, Gülsüm Alkan, Hamdi Kahraman, İbrahim Büyükak, Metin Keçeci;Turkey;Turkey;;10/03/2017;10/03/2017;2017-03-10;Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off.;Ozan Açıktan;99 min;Comedies;A;Comedies, International Movies;International;TV-MA;2010;2010's;s43;Çok Filim Hareketler Bunlar;Movie;100;1;1
Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua;Nigeria;Nigeria;;02/10/2020;02/10/2020;2020-10-02;In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence.;Kenneth Gyang;107 min;Dramas;A;Dramas, International Movies;International;TV-MA;2020;2020's;s44;Òlòtūré;Movie;100;1;1
Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen;United States;United States;;01/02/2018;01/02/2018;2018-02-01;Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.;Karyn Kusama;93 min;Action;A;Action & Adventure, Sci-Fi & Fantasy;&;PG-13;2005;2000's;s45;Æon Flux;Movie;100;1;1
Alican Yücesoy, Melisa Sözen, Musa Uzunlar, Serkan Ercan, Özkan Uğur, Ülkü Duru, Tansu Biçer, Nadir Sarıbacak, Sermet Yeşil, Ayhan Kavas;Turkey;Turkey;;17/01/2017;17/01/2017;2017-01-17;An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past.;;1 Season;Crime;A;Crime TV Shows, International TV Shows, TV Dramas;TV;TV-MA;2013;2010's;s46;Şubat;TV Show;100;1;1
Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride;United States;United States;;01/07/2017;01/07/2017;2017-07-01;When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream.;Adam Deyoe;89 min;Dramas;A;Dramas, Romantic Movies;Romantic;TV-PG;2014;2010's;s47;1 Chance 2 Dance;Movie;100;1;1
Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote;United States;United States;;07/07/2017;07/07/2017;2017-07-07;After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.;Leif Tilden;105 min;Dramas;A;Dramas, Romantic Movies, Sports Movies;Romantic;TV-14;2017;2010's;s48;1 Mile to You;Movie;100;1;1
Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.;South Africa, Nigeria;South Africa;Nigeria;18/10/2019;18/10/2019;2019-10-18;After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.;Adze Ugah;87 min;Comedies;A;Comedies, International Movies, Romantic Movies;International;TV-14;2017;2010's;s49;10 Days in Sun City;Movie;100;1;1
Franck Dubosc, Claude Rich, Marie Kremer, Mathis Touré, Rufus, Olivier Claverie;France;France;;01/07/2017;01/07/2017;2017-07-01;When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.;Nicolas Brossette;97 min;Comedies;A;Comedies, Dramas, International Movies;Dramas,;TV-14;2012;2010's;s50;10 jours en or;Movie;100;1;1
Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif;United States, South Africa;United States;South Africa;01/06/2019;01/06/2019;2019-06-01;Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.;Roland Emmerich;109 min;Action;A;Action & Adventure;&;PG-13;2008;2000's;s51;10,000 B.C.;Movie;100;1;1
Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Kim Seon-ho, Han So-hee;South Korea;South Korea;;07/12/2020;07/12/2020;2020-12-07;Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette.;;1 Season;International;A;International TV Shows, Romantic TV Shows, TV Dramas;TV;TV-14;2018;2010's;s52;100 Days My Prince;TV Show;100;1;1
;Spain;Spain;;06/07/2018;06/07/2018;2018-07-06;Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.;;93 min;Documentaries;A;Documentaries, International Movies;International;TV-MA;2018;2010's;s53;100 Days Of Solitude;Movie;100;1;1
Zainab Johnson, Sammy Obeid, Alie Ward;United States;United States;;13/03/2020;13/03/2020;2020-03-13;One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.;;1 Season;Docuseries;A;Docuseries, Science & Nature TV;Science;TV-14;2020;2020's;s54;100 Humans;TV Show;100;1;1
Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer, Clara Segura, Alba Ribas, Bruno Bergonzini, Ricardo Pereira, Manuela Couto, Marc Balaguer;Portugal, Spain;Portugal;Spain;10/03/2017;10/03/2017;2017-03-10;A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.;Marcel Barrena;109 min;Dramas;A;Dramas, International Movies, Sports Movies;International;TV-MA;2016;2010's;s55;100 Meters;Movie;100;1;1
Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena, Brady Reiter, Lisa Arch, Stephanie Escajeda;United States;United States;;02/11/2019;02/11/2019;2019-11-02;Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.;;44 min;Movies;A;Movies;;TV-Y;2014;2010's;s56;100 Things to do Before High School;Movie;100;1;1
;United States;United States;;20/03/2018;20/03/2018;2018-03-20;This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.;Melinda Janko;75 min;Documentaries;A;Documentaries;;TV-14;2016;2010's;s57;100 Years: One Woman's Fight for Justice;Movie;100;1;1
Anisa Rahma, Ariyo Wahab, Anandito Dwis, Fitria Rasyidi, Arafah Rianti, Kinaryosih;Indonesia;Indonesia;;07/01/2021;07/01/2021;2021-01-07;After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.;Jastis Arimba;101 min;Dramas;A;Dramas, International Movies;International;TV-14;2020;2020's;s58;100% Halal;Movie;100;1;1
Daniel Palmer, Melissa Sophia, Karen Williams, Grace Woodward;United Kingdom;United Kingdom;;01/11/2019;01/11/2019;2019-11-01;A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.;;1 Season;British;A;British TV Shows, International TV Shows, Reality TV;TV;TV-14;2017;2010's;s59;100% Hotter;TV Show;100;1;1
Usha Naik, Sandeep Pathak, Shrikant Yadav, Ganesh Yadav, Pooja Nayak, Devendra Gaikwad;India;India;;01/12/2016;01/12/2016;2016-12-01;After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.;Shrihari Sathe;89 min;Dramas;A;Dramas, International Movies;International;TV-14;2014;2010's;s60;1000 Rupee Note;Movie;100;1;1
Sam Upton, Jared Abrahamson, Mark Boone Junior, Laila Ali, Kate Vernon, Cassi Thomson, Colby French, Miguel Perez, Jay Acovone;United States;United States;;14/03/2019;14/03/2019;2019-03-14;Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch.;Sam Upton;90 min;Dramas;A;Dramas, Independent Movies, Sports Movies;Independent;TV-MA;2017;2010's;s61;12 ROUND GUN;Movie;100;1;1
So-yeon Lee, Namkoong Min, Tae-im Lee, So-hui Yoon, Won-keun Lee, Hyo-young Ryu;South Korea;South Korea;;22/05/2017;22/05/2017;2017-05-22;A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.;;1 Season;International;A;International TV Shows, Korean TV Shows, Romantic TV Shows;TV;TV-14;2014;2010's;s62;12 Years Promise;TV Show;100;1;1
PJ McCabe, Brianne Moncrief, Sarah Baldwin, Jim Cummings, Heidi Niedermeyer, Neville Archambault;United States;United States;;13/08/2016;13/08/2016;2016-08-13;Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras.;Victor Zarcoff;90 min;Horror;A;Horror Movies, Independent Movies, Thrillers;Movies,;NR;2015;2010's;s63;13 Cameras;Movie;100;1;1
