,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
10,Atlantis,1913,N/A,01 Jun 1914,121 min,Drama,August Blom,"Axel Garde, Gerhart Hauptmann (novel), Karl-Ludwig Schröder","Olaf Fønss, Ida Orloff, Ebba Thomsen, Carl Lauritzen","After Dr. Friedrich's wife becomes mentally unstable and his research papers are rejected, he leaves the country to respite.","None, Danish",Denmark,N/A,https://m.media-amazon.com/images/M/MV5BOTU4NWQzMmQtMWU1Ni00NTFlLTg3MDctNTU0ZmViZDQ2NTY0XkEyXkFqcGdeQXVyODMyMTEyMzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,351,tt0002646,movie,N/A,N/A,Reel Media International,N/A,True,
11,Fantômas: In the Shadow of the Guillotine,1913,Not Rated,N/A,54 min,"Crime, Drama",Louis Feuillade,"Marcel Allain (novel), Louis Feuillade, Pierre Souvestre (novel)","René Navarre, Edmund Breon, Georges Melchior, Renée Carl",Inspector Juve is tasked to investigate and capture an infamous criminal Fantomas.,"None, French",France,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTQxNDAxNDk0Ml5BMl5BanBnXkFtZTgwMDQ0ODEwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}]",N/A,7.0,"2,028",tt0002844,movie,N/A,N/A,N/A,N/A,True,
12,Ingeborg Holm,1913,Not Rated,27 Oct 1913,96 min,Drama,Victor Sjöström,Nils Krok (play),"Hilda Borgström, Aron Lindgren, Erik Lindholm, Georg Grönroos",Single mother is separated from her children due to financial struggles.,None,Sweden,N/A,https://m.media-amazon.com/images/M/MV5BNjg2Yjg2OWQtOTVjNC00YzQ1LTkzOGYtZDY0YTNkMDU2OGMwXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"1,044",tt0003014,movie,N/A,N/A,N/A,N/A,True,
13,Fantomas: The Man in Black,1913,Not Rated,01 Nov 1913,61 min,"Crime, Drama",Louis Feuillade,"Marcel Allain (novel), Louis Feuillade, Pierre Souvestre (novel)","René Navarre, Edmund Breon, Georges Melchior, Renée Carl","In Part Two of Louis Feuillade's 5 1/2-hour epic follows FantÃ'mas, the criminal lord of Paris, master of disguise, the creeping assassin in black, as he is pursued by the equally resourceful Inspector Juve.","None, French",France,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTFkM2M4MTAtMTE2NC00MjZlLThlZDctMWU3YTIwY2ViMzU4XkEyXkFqcGdeQXVyMDI3OTIzOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.0,"1,407",tt0003037,movie,N/A,N/A,N/A,N/A,True,
14,Love Everlasting,1914,N/A,01 Jan 1914,90 min,Drama,Mario Caserini,"Emiliano Bonetti, G. Monleone","Lyda Borelli, Mario Bonnard, Gian Paolo Rosmino, Vittorio Rossi Pianelli","Leslie Swayne, an adventurer, in order to obtain enough money to satisfy the needs of his extravagant life, has been bribed to steal the plans of the fortification from the staff officers ...","None, Italian",Italy,N/A,https://m.media-amazon.com/images/M/MV5BNDM1MDU5OGUtMTFmMS00Mjc5LTljMzUtNjAwNjc2ZWIwYWRiXkEyXkFqcGdeQXVyMDk1ODM3MA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,106,tt0003102,movie,22 Nov 2016,N/A,Wheelie Films,N/A,True,
15,War Is Hell,1914,N/A,01 May 1914,50 min,"Drama, War",Alfred Machin,Alfred Machin,"Baert, Suzanne Berni, Fernand Crommelynck, Nadia D'Angely","An army pilot is on a visit at the home of another army pilot in the neighboured country. He falls in love with his sister. After the outbreak of a war between the two countries, her ...","None, French","Belgium, France",N/A,https://m.media-amazon.com/images/M/MV5BMDE4YTMwNDQtYjViMC00NWYzLWI5MjQtOWU5NjFhZDJiMjMxXkEyXkFqcGdeQXVyMjM5NDM1MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,130,tt0003131,movie,N/A,N/A,N/A,N/A,True,
16,Fantômas: The Dead Man Who Killed,1913,Not Rated,01 Mar 1914,90 min,"Crime, Drama, Mystery",Louis Feuillade,"Marcel Allain (novel), Louis Feuillade, Pierre Souvestre (novel)","René Navarre, Edmund Breon, Georges Melchior, André Luguet","After a body disappears from inside the prison, a series of crimes take place, all seemingly by the dead man. With Juve presumed dead, Fandor must investigate alone. Will Fantomas finally be brought to justice?","None, French",France,1 nomination.,https://m.media-amazon.com/images/M/MV5BMjQwMTEwMjg3Ml5BMl5BanBnXkFtZTgwMTg0NDIwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",N/A,7.0,"1,076",tt0003165,movie,N/A,N/A,N/A,N/A,True,
17,"Home, Sweet Home",1914,PASSED,17 May 1914,55 min,Drama,D.W. Griffith,"D.W. Griffith (story), H.E. Aitken (scenario)","Henry B. Walthall, Josephine Crowell, Lillian Gish, Dorothy Gish","John Howard Payne at his most miserable point in life, writes a song which becomes popular and inspires other people at some point in their lives.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTUwNTEyOTY4Ml5BMl5BanBnXkFtZTcwMzg1MDA4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,5.9,110,tt0003167,movie,N/A,N/A,N/A,N/A,True,
18,The Student of Prague,1913,Approved,01 Sep 1913,85 min,"Drama, Fantasy, Horror, Romance","Paul Wegener, Stellan Rye(co-director)","Hanns Heinz Ewers (story), Hanns Heinz Ewers (adaptation), Alfred de Musset (quotation)","Paul Wegener, Grete Berger, Lyda Salmonova, John Gottowt","Balduin, a student of Prague, leaves his roystering companions in the beer garden, when he finds he has reached the end of his resources. He is scarcely seated in a quiet corner when a ...","German, English",Germany,N/A,https://m.media-amazon.com/images/M/MV5BZGU4MGZiMmItOWJlOC00NDlkLWIyODItYjI5OWNmNmQyMDUwXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.5,"1,866",tt0003419,movie,N/A,N/A,N/A,N/A,True,
19,Traffic in Souls,1913,TV-PG,24 Nov 1913,88 min,"Crime, Drama",George Loane Tucker,N/A,"Jane Gail, Ethel Grandin, William H. Turner, Matt Moore","A woman, with the aid of her police officer sweetheart, endeavors to uncover the prostitution ring that has kidnapped her sister, and the philanthropist who secretly runs it.","None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BYzk0YWQzMGYtYTM5MC00NjM2LWE5YzYtMjgyNDVhZDg1N2YzXkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",N/A,6.0,566,tt0003471,movie,27 May 2014,N/A,N/A,N/A,True,
20,The Last Days of Pompeii,1913,N/A,13 Aug 1913,88 min,"Adventure, Drama","Mario Caserini, Eleuterio Rodolfi","Edward George Bulwer-Lytton (novel), Mario Caserini","Fernanda Negri Pouget, Eugenia Tettoni Fior, Ubaldo Stefani, Antonio Grisanti",Two love triangles intersect in ancient Pompei.,"None, Italian",Italy,N/A,https://m.media-amazon.com/images/M/MV5BMDJkMmQ2MDQtMzRkMy00MTk4LWI0NjItZTJiZTUzYTdiN2ZmXkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}]",N/A,6.2,485,tt0003489,movie,14 Mar 2017,N/A,N/A,N/A,True,
21,Assunta Spina,1915,N/A,01 May 1916,72 min,Drama,"Francesca Bertini, Gustavo Serena","Salvatore Di Giacomo (novel), Francesca Bertini, Gustavo Serena","Francesca Bertini, Gustavo Serena, Carlo Benetti, Luciano Albertini",Assunta Spina is a tragedy set in Naples at the beginning of the twentieth century. Assunta and Michele are in love but others come between them and there is much jealousy. They fight and ...,None,Italy,N/A,https://m.media-amazon.com/images/M/MV5BMTUyNTkxOTA5Ml5BMl5BanBnXkFtZTcwMDA0MDIyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,391,tt0003637,movie,12 Aug 2003,N/A,N/A,N/A,True,
22,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,Not Rated,24 Aug 1914,78 min,"Crime, Drama, Horror",D.W. Griffith,"Edgar Allan Poe (stories), D.W. Griffith","Henry B. Walthall, Spottiswoode Aitken, Blanche Sweet, George Siegmann","Prevented from dating his sweetheart by his uncle, a young man turns his thoughts to murder.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNDdhMjhhODAtZjAyZS00NGE3LWFjMzUtYmU3ZThkNDExYmU3XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}]",N/A,6.4,"1,148",tt0003643,movie,18 Nov 2008,N/A,N/A,N/A,True,
23,The Bargain,1914,N/A,03 Dec 1914,70 min,Western,Reginald Barker,"William H. Clifford, Thomas H. Ince","William S. Hart, J. Frank Burke, Clara Williams, J. Barney Sherry","After the bandit Jim Stokes robs the stage he is wounded fleeing. Recuperating at a ranch, he falls in love with and marries the daughter. Now wishing to go straight he tries to return the ...","None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BNjc4NjU0ZDAtMzBiZi00MTU2LTk2MGYtZjcwMDExNmM3MTI3XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,157,tt0003657,movie,N/A,N/A,N/A,N/A,True,
24,Cabiria,1914,Not Rated,09 May 1914,148 min,"Adventure, Drama, History, War",Giovanni Pastrone,"Gabriele D'Annunzio (titles), Titus Livius (book), Giovanni Pastrone, Emilio Salgari (novel)","Carolina Catena, Lidia Quaranta, Teresa Marangoni, Dante Testa","Cabiria is a Roman child when her home is destroyed by a volcano. Sold in Carthage to be sacrificed in a temple, is saved by Fulvio, a Roman spy. But danger lurks, and hatred between Rome and Carthage can only lead to war.","None, Italian",Italy,N/A,https://m.media-amazon.com/images/M/MV5BZmVjNzQyZDEtMTY0ZS00ZDBhLTg5NDItYzEzZmNlZjJjNmVmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,7.1,"3,225",tt0003740,movie,01 Jul 2016,N/A,N/A,N/A,True,
25,Cinderella,1914,N/A,28 Dec 1914,52 min,"Fantasy, Drama",James Kirkwood,"Charles Perrault (story ""Cendrillon"")","Mary Pickford, Owen Moore, Isabel Vernon, Georgia Wilson","Though mistreated by her cruel stepmother and stepsisters, Cinderella is able to attend the royal ball through the help of a fairy godmother.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNDRhMGQ1NWMtNmZkNS00MGYxLTg0ZWUtMGRlYmZiMzQ3YTc1XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,936,tt0003772,movie,N/A,N/A,N/A,N/A,True,
26,L'enfant de Paris,1913,Not Rated,17 Sep 1913,124 min,"Crime, Drama",Léonce Perret,Léonce Perret,"Léonce Perret, Louis Leubas, Maurice Lagrenée, Émile Keppens","The young daughter of an army captain missing in action runs away from school and is kidnapped by Parisian lowlifes. When the kidnapper flees to Nice with the child, the kind-hearted employee of one of his accomplices sets off in pursuit.","None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BMzM3ZTcwNjQtNWVmZC00MGVlLTlkMWUtMDViMzY2OWVlNTU5XkEyXkFqcGdeQXVyMzYwOTYyNg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,324,tt0003883,movie,N/A,N/A,N/A,N/A,True,
27,Fantomas: The Mysterious Finger Print,1914,Not Rated,10 Jan 1914,59 min,"Crime, Drama",Louis Feuillade,"Marcel Allain (novel), Louis Feuillade, Pierre Souvestre (novel)","René Navarre, Georges Melchior, Laurent Morléas, Renée Carl","The mystery of the drama is the appearance of the finger-print of a dead artist upon the neck of Princess Sonia Danidoff, whom Fantomas, as Nanteuil, relieves of her pearl necklace, and ...","None, French",France,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTA3MTk5MjI1ODBeQTJeQWpwZ15BbWU3MDc1MzAzMzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}]",N/A,6.9,"1,197",tt0003930,movie,N/A,N/A,N/A,N/A,True,
28,A Florida Enchantment,1914,Unrated,04 Sep 1916,63 min,Comedy,Sidney Drew,"Marguerite Bertsch, Archibald Clavering Gunter (novel), Eugene Mullin, Fergus Redmund (novel)","Sidney Drew, Edith Storey, Charles Kent, Mrs. Sidney Drew","A young woman discovers a seed that can make women act like men and men act like women. She decides to take one, then slips one to her maid and another to her fiancé. The fun begins.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNjE5MTA5NDItNmVhYi00NDljLTg4MjgtMjRhMzVlZmUxYWRlXkEyXkFqcGdeQXVyMDU4MTQ0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",N/A,5.7,216,tt0003973,movie,28 Jul 2016,N/A,Vitagraph Company of America,N/A,True,
29,The Golem,1915,N/A,08 Apr 1915,60 min,Horror,"Henrik Galeen, Paul Wegener","Henrik Galeen, Paul Wegener","Paul Wegener, Henrik Galeen, Lyda Salmonova, Rudolf Blümner","In this version of the golem legend, the golem, a clay statue brought to life by Rabbi Loew in 16th century Prague to save the Jews from the ongoing brutal persecution by the city's rulers,...","None, German",Germany,N/A,https://m.media-amazon.com/images/M/MV5BOTIyN2U4Y2UtZjUzNy00M2Q4LWI2ZGQtOTgwNGE1YTQwZDg5XkEyXkFqcGdeQXVyNzk3ODM4NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"1,058",tt0004026,movie,N/A,N/A,N/A,N/A,True,
30,Sealed Orders,1914,N/A,01 Apr 1914,84 min,"Drama, Mystery",Benjamin Christensen,"Benjamin Christensen, Laurids Skands (manuscript)","Benjamin Christensen, Karen Caspersen, Otto Reinwald, Fritz Lamprecht","On the brink of war, Lt. van Hauen is summoned to take command of the cruiser, but due to unforeseen events, he is wrongfully convicted as a traitor.","None, Danish",Denmark,N/A,https://m.media-amazon.com/images/M/MV5BZjMxZjMyNzgtY2MxMS00Y2FkLWI3MTEtYmI2YzY4ZGM3NWE0XkEyXkFqcGdeQXVyNDEzMTI3MTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,529,tt0004066,movie,N/A,N/A,N/A,N/A,True,
31,The New Wizard of Oz,1914,N/A,14 Oct 1914,59 min,"Family, Fantasy, Adventure, Comedy",J. Farrell MacDonald,"L. Frank Baum (novels), L. Frank Baum (screenplay)","Violet MacMillan, Frank Moore, Pierre Couderc, Fred Woodward","A wicked king has taken over the Emerald City, and wants his daughter, Princess Gloria, to marry the horrid courtier Googly-Goo, though she loves Pon, the Gardener's Boy. The camera now ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BZWZmZTZhMTQtZDhjZS00MTQyLThjMDQtYWYzN2NkYTEyMTJlXkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}]",N/A,5.2,422,tt0004099,movie,03 Jan 2019,N/A,The Oz Film Manufacturing Company,N/A,True,
32,Hypocrites,1915,Passed,20 Jan 1915,54 min,Drama,Lois Weber,Lois Weber,"Courtenay Foote, Myrtle Stedman, Herbert Standing, Adele Farrington","The parallel stories of a modern preacher and a medieval monk, Gabriel the Ascetic, who is killed by an ignorant mob for making a nude statue representing Truth, which is also represented by a ghostly naked girl who flits throughout the film.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjA5NTYzNDQ4NV5BMl5BanBnXkFtZTgwMzA5NzgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,488,tt0004134,movie,N/A,N/A,London Film Productions,N/A,True,
33,In the Land of the Head Hunters,1914,Not Rated,07 Dec 1914,65 min,"Drama, History",Edward S. Curtis,Edward S. Curtis (story),"Stanley Hunt, Sarah Constance Smith Hunt, Mrs. George Walkus, Paddy 'Malid","In 1911, as part of his massive undertaking, famed Northwest photographer Edward S. Curtis travelled to Vancouver Island, British Columbia, to visit the Kwakwaka'wakw. By the next year, ...","None, English","USA, Canada",1 win.,https://m.media-amazon.com/images/M/MV5BMjE3MjAyNzM5NV5BMl5BanBnXkFtZTgwMjA5OTg5NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}]",N/A,5.8,410,tt0004150,movie,03 Feb 2016,N/A,N/A,N/A,True,
34,Judith of Bethulia,1914,Not Rated,08 Mar 1914,61 min,Drama,D.W. Griffith,"Thomas Bailey Aldrich (poem), D.W. Griffith, Grace Pierce, Frank E. Woods","Blanche Sweet, Henry B. Walthall, Mae Marsh, Robert Harron","A religious woman seeks to save her people from destruction by seducing and murdering the enemy leader, but her plans get complicated once she falls for him.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNWE4M2M0MGUtMjk4Ni00OGE4LWJkZDUtMWI0ZDJlMDYxZjY5XkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}]",N/A,6.1,"1,260",tt0004181,movie,24 Dec 2018,N/A,N/A,N/A,True,
35,The Patchwork Girl of Oz,1914,N/A,28 Sep 1914,81 min,"Adventure, Family, Fantasy, Comedy",J. Farrell MacDonald,"L. Frank Baum (novel), L. Frank Baum (screenplay)","Violet MacMillan, Frank Moore, Raymond Russell, Leontine Dranet","Ojo and Unc Nunkie are out of food, so they decide to journey to the Emerald City where they will never starve.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMzgxZjk1NjUtMTkxMS00YjQ0LTlmNzMtNDUxZDFmMTdmZmM5XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}]",N/A,5.5,398,tt0004457,movie,11 Aug 2016,N/A,Pathé,N/A,True,
36,The Perils of Pauline,1914,Passed,23 Mar 1914,199 min,"Action, Adventure, Drama","Louis J. Gasnier, Donald MacKenzie","Charles W. Goddard (screenplay), Basil Dickey (screenplay), Charles W. Goddard (novel), George B. Seitz, Bertram Millhauser","Pearl White, Crane Wilbur, Paul Panzer, Edward José","Young Pauline is left a lot of money when her wealthy uncle dies. However, her uncle's secretary has been named as her guardian until she marries, at which time she will officially take ...","None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BMzgxODk1Mzk2Ml5BMl5BanBnXkFtZTgwMDg0NzkwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,945,tt0004465,movie,N/A,N/A,Pathé Frères,N/A,True,
