,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
10,Death Sentence,2007,R,31 Aug 2007,105 min,"Action, Crime, Drama, Thriller",James Wan,"Ian Mackenzie Jeffers (screenplay), Brian Garfield (novel)","Kevin Bacon, Garrett Hedlund, Kelly Preston, Jordan Garrett","Nick Hume is a mild-mannered executive with a perfect life, until one gruesome night he witnesses something that changes him forever. Transformed by grief, Hume eventually comes to the disturbing conclusion that no length is too great when protecting his family.",English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BZWMzY2QxMjYtYTYwMy00YjMyLTgxODUtNWNhODgxNGU0YTk5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,6.8,"69,521",tt0804461,movie,18 Sep 2012,"$9,534,258",Twentieth Century Fox,N/A,True
11,Man from Reno,2014,Not Rated,27 Mar 2015,111 min,"Crime, Drama, Mystery, Thriller",Dave Boyle,"Dave Boyle, Joel Clark, Michael Lerman","Ayako Fujitani, Pepe Serna, Kazuki Kitamura, Yasuyo Shiba","In a small town south of San Francisco, Sheriff Paul Del Moral (Pepe Serna) is driving home through the fog when he accidentally strikes a pedestrian, a lone Japanese man. However, before an investigation can take place the man disappears from the hospital without a trace. At the same time, Japanese mystery author Aki Akahori (Ayako Fujitani) takes a trip to San Francisco in order to escape the press tour for her latest book--a potboiler in her world famous ""Inspector Takabe"" series. Feeling lonely and vulnerable, she begins a romantic affair with a mysterious Japanese traveler from Reno (Kazuki Kitamura). Her new lover is charismatic and charming but abruptly disappears from the hotel, leaving behind his suitcase and a trail of questions...","English, Japanese",USA,3 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMjE5NDA2NDg1N15BMl5BanBnXkFtZTgwNjM1NDQ1MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,6.7,"1,782",tt2287170,movie,10 Nov 2016,"$101,438",Eleven Arts,N/A,True
12,Don't Think Twice,2016,R,22 Jul 2016,92 min,"Comedy, Drama",Mike Birbiglia,Mike Birbiglia,"Gillian Jacobs, Mike Birbiglia, Kate Micucci, Tami Sagher","JACK (Keegan Michael Key) & his girlfriend Samantha (Gillian Jacobs) are a perfect couple who are also Teammates on a popular improv group that perform at a struggling comedy spot in NYC. Together, the team has a family like bond but individually they have their personal dreams of being on the weekly television show ""This Weekend Live"".",English,USA,7 nominations.,https://m.media-amazon.com/images/M/MV5BMTkxMTkwODM2MF5BMl5BanBnXkFtZTgwNjYwNjY5ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,6.7,"16,879",tt4972062,movie,22 Nov 2016,"$4,417,667","Cold Iron Pictures, Secret Public Productions",N/A,True
13,Bunny and the Bull,2009,Unrated,13 Aug 2010,101 min,"Comedy, Drama",Paul King,Paul King (screenplay),"Edward Hogg, Simon Farnaby, Verónica Echegui, Richard Ayoade","Stephen has agoraphobia and, in the flat he won't leave, meticulously labels and stores everything from nail clippings to urine. In long flashbacks we see a trip to the continent he took with his only friend Bunny, an outgoing, inveterate gambler. The European trip is a bit dull (Stephen wants to visit every museum imaginable) until one night in Poland they meet Eloisa, a Spanish waitress, and offer to drive her home for her city's fiesta. We can guess that the trip won't end well - because Stephen is now stuck in his flat with occasional visits from Bunny - but will anything in the reverie move Stephen to action?","English, Spanish",UK,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BNDM0ODVhNTItNDYyZC00ZjU5LTgxNTMtZmY2MjJkOTU2MTcxXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",N/A,6.7,"4,713",tt1251725,movie,05 Apr 2017,N/A,"Warp X, Screen Yorkshire",N/A,True
14,Alpha,2018,PG-13,17 Aug 2018,96 min,"Action, Adventure, Drama",Albert Hughes,"Daniele Sebastian Wiedenhaupt (screenplay by), Albert Hughes (story by)","Kodi Smit-McPhee, Jóhannes Haukur Jóhannesson, Marcin Kowalczyk, Jens Hultén","In the prehistoric past, a young man struggles to return home after being separated from his tribe during a buffalo hunt. He finds a similarly lost wolf companion and starts a friendship that would change humanity.",English,"USA, Canada, China",1 win.,https://m.media-amazon.com/images/M/MV5BODI4OTk1ODY3N15BMl5BanBnXkFtZTgwMDI1MTcwNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.7,"56,793",tt4244998,movie,17 Mar 2018,"$35,857,181",Studio 8,N/A,True
15,Rapt,2009,Not Rated,18 Nov 2009,125 min,"Drama, Thriller",Lucas Belvaux,Lucas Belvaux,"Yvan Attal, Anne Consigny, André Marcon, Françoise Fabian","Stanislaff Graff, a rich industrialist with a wife and a lover, is kidnapped brutally from his limousine on the eve of his visit to China as part of the entourage of the French president. The kidnappers demand a fifty million euro ransom. In order to prove they are serious, they cut off one of his fingers. What follows is a terrifying sparring match between kidnappers, police and the board of the company of which Graff is the director. The main question for the board: is a human life worth more than fifty million euros? Will they be able to get that amount of money together in time anyway? While they decide this he degenerates physically and mentally in imprisonment. In the meantime, the press dredges up the businessman's past with revelations that are especially painful for his wife.",French,"France, Belgium",5 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ2MzEzMzYyMF5BMl5BanBnXkFtZTcwMDAyMjc4NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.7,"1,970",tt1430110,movie,09 Feb 2017,"$45,759",N/A,N/A,True
16,The Wolverine,2013,PG-13,26 Jul 2013,126 min,"Action, Sci-Fi",James Mangold,"Mark Bomback (screenplay), Scott Frank (screenplay)","Hugh Jackman, Tao Okamoto, Rila Fukushima, Hiroyuki Sanada","In modern day Japan, Wolverine is out of his depth in an unknown world as he faces his ultimate nemesis in a life-or-death battle that will leave him forever changed. Vulnerable for the first time and pushed to his physical and emotional limits, he confronts not only lethal samurai steel but also his inner struggle against his own near-immortality, emerging more powerful than we have ever seen him before.","English, Japanese","USA, UK",2 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BNzg1MDQxMTQ2OF5BMl5BanBnXkFtZTcwMTk3MjAzOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.7,"434,709",tt1430132,movie,25 Nov 2015,"$132,556,852",Donners&#39; Company,N/A,True
17,Tortilla Soup,2001,PG-13,31 Aug 2001,102 min,"Comedy, Romance, Drama",Maria Ripoll,"Hui-Ling Wang (earlier screenplay), Ang Lee (earlier screenplay), James Schamus (earlier screenplay), Ramón Menéndez (screenplay), Tom Musca (screenplay), Vera Blasi (screenplay)","Jacqueline Obradors, Tamara Mello, Judy Herrera, Nikolai Kinski","Retired Mexican-American chef Martin Naranjo shares an L.A. home with his three gorgeous, but single, adult daughters. Though he long ago lost his ability to taste, Martin still lives to cook incredibly lavish dinners for his loved ones and to serve them in a family-style ritual at traditional sit-down meals. Although the women humor their father's old-fashioned ways, each of them is searching for fulfillment outside the family circle. College student Maribel is growing increasingly frustrated with the singles scene and wants a steady man; gorgeous career woman Carmen is fed up with her boyfriend and his wandering eye; meanwhile, eldest daughter Letitia, who has suppressed her own romantic longings, senses something missing in her life. Things take a turn for the romantic when Dad, a widower, meets a vivacious divorcee on the lookout for a mate and each of his daughters, in turn, finds someone. But they'll all discover that the recipe for happiness may call for some unexpected ingredients.","English, Spanish",USA,2 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BZGJhMmZkOWYtZDI5MC00ODM3LTg5N2ItODhiMDk3NDM0YWUwXkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,6.7,"4,509",tt0255653,movie,09 Oct 2015,"$4,467,615","Samuel Goldwyn Films, Starz! Encore Entertainment",N/A,True
18,From Time to Time,2009,PG,24 Sep 2010,92 min,"Adventure, Drama, Fantasy",Julian Fellowes,"Lucy M. Boston (novel), Julian Fellowes (adaptation)","Alex Etel, Timothy Spall, Maggie Smith, Christopher Villiers","In 1940s England, thirteen year old Tolly is sent to Green Knowe, the country estate of his grandmother, while his mother searches for any information concerning his missing-in-action father. Tolly soon finds that he can pass through time to witness the family stories Grandmother Oldknow tells him. Traveling back to 1805, Tolly becomes caught up in the family scandals, secrets, and mysteries that still echo in his own time...",English,UK,3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNWNiNzgxNDQtMmEyMC00MThmLWFhOTItOWY3Zjc1OWRhODg2XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}]",N/A,6.7,"4,763",tt1031241,movie,23 Mar 2017,N/A,Ealing Studios,N/A,True
19,Appaloosa,2008,R,03 Oct 2008,115 min,"Action, Crime, Drama, Romance, Western",Ed Harris,"Robert Knott (screenplay), Ed Harris (screenplay), Robert B. Parker (novel)","Robert Jauregui, Jeremy Irons, Timothy V. Murphy, Luce Rains","1882, New Mexico Territory. Virgil Cole and Everett Hitch are itinerant lawmen, hired by desperate towns as marshal and deputy. The city fathers of Appaloosa hire them after Randall Bragg, a newly-arrived rancher with money and a gang of thugs, disrupts commerce and kills three local lawmen. Cole and Hitch contrive to arrest Bragg and bring him to trial, but hanging him proves difficult. Meanwhile, a widow has arrived in town, Allison French, pretty, refined, and good-natured. Virgil falls hard, and it seems mutual, but there may be more to Allie than meets the eye. Can friendship and skill with a gun overcome a pernicious villain and green-eyed jealousy?","English, Apache languages, Spanish",USA,4 wins.,https://m.media-amazon.com/images/M/MV5BMTMxMDE5NDIxM15BMl5BanBnXkFtZTcwNjI0MjQ4MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.7,"58,874",tt0800308,movie,02 Nov 2010,"$20,211,394",Groundswell Productions,N/A,True
20,Transsiberian,2008,R,05 Sep 2008,111 min,"Crime, Drama, Mystery, Thriller",Brad Anderson,"Brad Anderson, Will Conroy","Woody Harrelson, Emily Mortimer, Ben Kingsley, Kate Mara","Americans abroad. Roy and Jessie finished a volunteer stint in China. He loves trains, so they go home via the Trans-Siberia Express. There are strains in the relationship, including her past. They meet Carlos, a Spaniard, traveling with Abby, a young American. Carlos keeps close to Jessie, and when Roy is left behind and waits a day for the next train so he can catch up, Jessie and Carlos take a trip into the dead of winter to photograph a ruined church. Carlos may be running drugs, so, later, when Roy catches up and introduces Jessie to his new pal, an English speaking Russian narcotics detective, he's the last person Jessie wants to see. Will the Siberian desolation be their undoing?","English, Russian, Spanish, Mandarin, French","UK, Germany, Spain, Lithuania",2 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BMTI1MDU0NTI2Ml5BMl5BanBnXkFtZTcwNTkyNjY3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,6.7,"51,150",tt0800241,movie,10 Mar 2017,"$2,206,405","Telecinco Cinema, Filmax, Castelao Producciones S.A., Canal+ España, Scout Productions",N/A,True
21,"A White, White Day",2019,Unrated,06 Sep 2019,109 min,Drama,Hlynur Pálmason,Hlynur Pálmason,"Ingvar Sigurdsson, Ída Mekkín Hlynsdóttir, Hilmir Snær Guðnason, Sara Dögg Ásgeirsdóttir",An off duty police begins to suspect a local man for having had an affair with his recently dead wife. Gradually his obsession for finding out the truth accumulates and inevitably begins to endanger himself and his loved ones.,Icelandic,"Iceland, Denmark, Sweden",19 wins & 21 nominations.,https://m.media-amazon.com/images/M/MV5BMWFkNzk2ZDQtZTQ0OS00NjVmLTgxY2QtZmJkMjI4ZThiZmYwXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,6.7,"3,689",tt9801736,movie,N/A,N/A,N/A,N/A,True
22,The Incredible Hulk,2008,PG-13,13 Jun 2008,112 min,"Action, Adventure, Sci-Fi",Louis Leterrier,"Zak Penn (screenplay), Zak Penn (screen story), Stan Lee (Marvel comic book), Jack Kirby (Marvel comic book)","Edward Norton, Liv Tyler, Tim Roth, William Hurt","Depicting the events after the Gamma Bomb. 'The Incredible Hulk' tells the story of Dr Bruce Banner, who seeks a cure to his unique condition, which causes him to turn into a giant green monster under emotional stress. Whilst on the run from military which seeks his capture, Banner comes close to a cure. But all is lost when a new creature emerges; The Abomination.","English, Portuguese, Spanish",USA,1 win & 10 nominations.,https://m.media-amazon.com/images/M/MV5BMTUyNzk3MjA1OF5BMl5BanBnXkFtZTcwMTE1Njg2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.7,"443,152",tt0800080,movie,12 Feb 2014,"$134,806,913","Marvel Films, Valhalla Motion Pictures",N/A,True
23,Cassandra's Dream,2007,PG-13,18 Jan 2008,108 min,"Crime, Drama, Romance, Thriller",Woody Allen,Woody Allen,"Ewan McGregor, Colin Farrell, Peter-Hugo Daly, John Benfield","Two London brothers are hard-up for cash, and both have girls to look out for, too. When rich Uncle Howard comes to town and agrees to help them out, he admits his finances are under investigation, and he asks them to do him a favor and ""take care of"" an old business relation to keep his trouble under wraps - he says that they're family, and since he always takes care of them, the least they could do is help him out this once, as they're the only ones he can trust. The film follows their struggle with the immorality of this request and how each brother chooses to deal with it.",English,"USA, UK, France",N/A,https://m.media-amazon.com/images/M/MV5BMTI1NDg1NTY2N15BMl5BanBnXkFtZTcwNDY2MTU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.7,"50,492",tt0795493,movie,10 Aug 2016,"$973,018","Wild Bunch, Virtual Films",N/A,True
