,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
15,2:37,2006,N/A,17 Aug 2006,91 min,Drama,Murali K. Thalluri,Murali K. Thalluri,"Teresa Palmer, Frank Sweet, Sam Harris, Charles Baird","A contemporary, ensemble drama telling the complex tale of six high school students whose lives are interwoven with situations that so many of today's youth are faced with. The story takes place during a normal school day. At precisely 2:37 a tragedy will occur, affecting the lives of a group of students and their teachers. As the story unfolds, the individual stories of the six teenagers are revealed, each with its own explosive significance. An unwanted pregnancy unravels a terrible, dark secret; all is not as it appears for the seemingly confident school football hero; an outcast must deal with everyday taunts from his peers; a beautiful young girl battles an eating disorder; a stellar student constantly struggles to win his parents' approval; while another uses drugs to escape from his own demons.",English,Australia,1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTJiY2E4OTctZTc1OC00ZDAzLWE3OTctZWQzNDNjZTcwM2VkXkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}]",N/A,6.8,"6,978",tt0472582,movie,13 Jul 2010,N/A,N/A,N/A,True
16,The Last Starfighter,1984,PG,13 Jul 1984,101 min,"Action, Adventure, Sci-Fi",Nick Castle,Jonathan R. Betuel,"Kay E. Kuter, Dan Mason, Lance Guest, Dan O'Herlihy","Alex Rogan lives in a trailer court where his mother is manager and everyone is like a big extended family. He beats the Starfighter video game to the applause of everyone in the court and later that day finds he has been turned down for a student loan for college. Depressed, he meets Centauri, who introduces himself as a person from the company that made the game, before Alex really knows what is going on he is on the ride of his life in a ""car"" flying through space. Chosen to take the skills he showed on the video game into real combat to protect the galaxy from an invasion. Alex gets as far as the Starfighter base before he really realized that he was conscripted and requests to be taken back home. When he gets back home, he finds a Zando-Zan (alien bounty hunter) is stalking him. Unable to go home and live, Alex returns to the Starfighter base to find all the pilots have been killed and he is the galaxy's only chance to be saved from invasion. To defeat the invaders, who are paying the bounty on him, he must be victorious.",English,USA,4 nominations.,https://m.media-amazon.com/images/M/MV5BNjIzMWIzMmUtM2E0MC00OTExLWIzYzEtNWIzNzg3M2VjZmQ5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.8,"39,015",tt0087597,movie,19 Apr 2016,"$28,733,290",N/A,N/A,True
17,A Most Wanted Man,2014,R,01 Aug 2014,122 min,"Crime, Drama, Thriller",Anton Corbijn,"Andrew Bovell (screenplay), John le Carré (novel), Stephen Cornwell (additional writing)","Grigoriy Dobrygin, Philip Seymour Hoffman, Homayoun Ershadi, Mehdi Dehbi","When a half-Chechen, half-Russian, brutally tortured immigrant turns up in Hamburg's Islamic community, laying claim to his father's ill gotten fortune, both German and US security agencies take a close interest: as the clock ticks down and the stakes rise, the race is on to establish this most wanted man's true identity - oppressed victim or destruction-bent extremist? Based on John le Carré's novel, A MOST WANTED MAN is a contemporary, cerebral tale of intrigue, love, rivalry, and politics that prickles with tension right through to its last heart-stopping scene.","English, Turkish, Arabic","UK, USA, Germany",3 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BODY2MTA0MjYzMl5BMl5BanBnXkFtZTgwOTE3NzE4MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,6.8,"73,054",tt1972571,movie,19 Jul 2016,"$17,237,855","Potboiler Productions, The Ink Factory, Amusement Park Films",N/A,True
18,A Series of Unfortunate Events,2004,PG,17 Dec 2004,108 min,"Adventure, Comedy, Family, Fantasy",Brad Silberling,"Robert Gordon (screenplay), Daniel Handler (books)","Jim Carrey, Liam Aiken, Emily Browning, Kara Hoffman","Three children - Violet, Klaus and Sunny Baudelaire - are left orphaned when their house burns down, with their parents in it, in mysterious circumstances. They are left in the custody of a distant relative, Count Olaf (played by Jim Carrey). It is soon apparent that Count Olaf only cares about the children for their large inheritance.",English,"Germany, USA",Won 1 Oscar. Another 9 wins & 28 nominations.,https://m.media-amazon.com/images/M/MV5BMjE3MDM4NTg0NV5BMl5BanBnXkFtZTcwNjI4MTczMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.8,"198,035",tt0339291,movie,06 Jun 2014,"$118,634,549","DreamWorks SKG, Paramount Pictures, Scott Rudin Productions, Nickelodeon Movies",N/A,True
19,Wal-Mart: The High Cost of Low Price,2005,Not Rated,04 Nov 2005,98 min,Documentary,Robert Greenwald,N/A,"Lee Scott, Don Hunter, Jon Hunter, Jeremy Hunter","This documentary takes the viewer on a deeply personal journey into the everyday lives of families struggling to fight Goliath. From a family business owner in the Midwest to a preacher in California, from workers in Florida to a poet in Mexico, dozens of film crews on three continents bring the intensely personal stories of an assault on families and American values.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMDQxZGYzNDctNWQyMS00ZDAxLTg0M2ItNjQyODcwMjZhYzdmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.8,"4,431",tt0473107,movie,30 Nov 2016,N/A,Brave New Films,N/A,True
20,White Frog,2012,Not Rated,02 Aug 2013,93 min,"Drama, Romance",Quentin Lee,"Fabienne Wen, Ellie Wen","Booboo Stewart, Harry Shum Jr., Joan Chen, BD Wong","Younger brother Nick, who has Asperger's syndrome, struggles to cope and understand after the death of his brother Chaz. His parents are in denial about several things, and are not communicating or dealing well with the loss, but then Chaz's best friends decide to become mentors to Nick.",English,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BMjExMzMxMTI4NV5BMl5BanBnXkFtZTcwMzUwMzYwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}]",N/A,6.8,"1,942",tt1967697,movie,10 Aug 2016,N/A,Chris Lee Productions,N/A,True
21,Warm Bodies,2013,PG-13,01 Feb 2013,98 min,"Comedy, Horror, Romance",Jonathan Levine,"Isaac Marion (based on the novel by), Jonathan Levine (screenplay)","Nicholas Hoult, Teresa Palmer, Lio Tipton, Rob Corddry","With much of the world's population now an undead horde, R is a young and oddly introspective zombie. While fighting with and feeding on a human scavenger party, R meets Julie and feels an urge to protect her. What happens next is the beginning of a strangely warm relationship that allows R to begin regaining his humanity. As this change spreads through the local undead population like a virus, Julie and R eventually have to face a larger issue when the very nature of their friendship is challenged. Caught between the paranoid human forces and the ferocious ""Bonies"", zombies who are a mutual threat, R and Julie must find a way to bridge the differences of each side to fight for a better world no one thought possible.",English,"USA, Canada",2 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BYTc5ZjFhMDItYmViMi00YjI5LTgzNzctZjcxMDYzMWU2NTk2XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,6.8,"221,281",tt1588173,movie,19 Dec 2015,"$66,380,662","Make Movies, Mandeville Pictures",N/A,True
22,Body Double,1984,R,26 Oct 1984,114 min,"Crime, Drama, Mystery, Thriller",Brian De Palma,"Robert J. Avrech (screenplay), Brian De Palma (screenplay), Brian De Palma (story)","Craig Wasson, Melanie Griffith, Gregg Henry, Deborah Shelton","Jake Scully comes home to find his girlfriend with another man and has to find a new place. In between his acting workshops and his job in a vampire B-movie, he scans the paper looking for anything. He happens to meet Sam Bouchard, a fellow actor who needs a house sitter. Both are pleased with the arrangement that will have Jake staying in the house and for a sweetener, Sam shows him his favorite neighbor, a well-built woman who strips with her window open each night. Jake becomes obsessed with meeting her and is able to help recover her purse from a thief, but shows his own phobia, he is incapacitated by claustrophobia when the thief runs through a tunnel. When Jake witnesses a murder, he finds out that the police love to pin crimes on peeping Toms. Jake discovers that here are just too many coincidences but must hunt them down himself without the police.",English,USA,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BYzA4MDViNmQtZTk5Yi00ODk2LTliZWEtMTAzYjAzYzQ4YjZlXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,6.8,"29,663",tt0086984,movie,16 Apr 2012,"$8,801,940","Columbia Pictures Corporation, Delphi II",N/A,True
23,22 July,2018,R,10 Oct 2018,143 min,"Crime, Drama, History, Thriller",Paul Greengrass,"Paul Greengrass, Åsne Seierstad (based upon the book ""One of Us"" by)","Anders Danielsen Lie, Jonas Strand Gravli, Jon Øigarden, Maria Bock","A three-part story of Norway's worst terrorist attack in which over seventy people were killed. 22 July looks at the disaster itself, the survivors, Norway's political system and the lawyers who worked on this horrific case.","English, Norwegian","Norway, Iceland",2 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BNGY2MmQ0YTYtNjRjOS00ZjBhLThlMDMtN2FiY2ZjODhmNzU2XkEyXkFqcGdeQXVyOTA5NzQ0MDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,6.8,"29,627",tt7280898,movie,10 Oct 2018,N/A,Scott Rudin Productions,N/A,True
24,Gray's Anatomy,1996,Not Rated,19 Mar 1997,80 min,"Comedy, Drama",Steven Soderbergh,"Spalding Gray (monologue), Renée Shafransky (monologue), Spalding Gray","Spalding Gray, Mike McLaughlin, Melissa Robertson, Alvin Henry","Spalding Gray has an eye condition that can be surgically corrected. He decides to seek alternate treatment and embarks on a journey that will take him to Christian Science, Native American sweat lodges and psychic surgeons, among others.",English,"USA, UK",N/A,https://m.media-amazon.com/images/M/MV5BN2EwOTMyZDItNzc4Ni00NTMwLWExMGEtNGRkOTMxNjVjMWM3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,6.8,"2,142",tt0116447,movie,10 Aug 2016,"$29,090",N/A,N/A,True
25,The Brother from Another Planet,1984,R,14 Sep 1984,108 min,"Comedy, Sci-Fi",John Sayles,John Sayles,"Joe Morton, Rosanna Carter, Ray Ramirez, Yves Rene","The Brother is an alien who has crash-landed on Earth, in New York City. While mute, strongly empathic, and able to fix things, he resembles a Black man with strange feet. His attempt to make a place for himself in Harlem is an allegory for the immigrant experience in the United States. Meanwhile, two bounty hunters from the Brother's home planet arrive and try to capture him.","English, Spanish",USA,3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNzQ5NjI4YjktMGMwZS00NDZkLWI0MjktOTI4YjY2Y2I1ZGIxXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,6.8,"5,585",tt0087004,movie,19 Jan 2017,"$3,677,209",A-Train Films,N/A,True
