,carat,cut,color,clarity,depth,table,x,y,z,price
60,0.26,Ideal,G,VVS2,61.4,56.0,4.11,4.14,2.53,545
61,1.01,Good,I,SI2,61.8,62.0,6.28,6.35,3.9,3399
62,0.4,Ideal,F,VS1,61.1,56.0,4.78,4.75,2.91,1050
63,0.33,Premium,F,VS2,62.4,58.0,4.37,4.41,2.74,666
64,1.28,Ideal,F,VS1,61.7,55.0,7.01,6.98,4.32,11580
65,0.75,Ideal,D,VS2,62.4,55.0,5.83,5.8,3.63,3456
66,1.7,Premium,G,VS1,61.2,57.0,7.73,7.64,4.7,17492
67,1.02,Ideal,D,SI1,62.8,56.0,6.44,6.39,4.03,6158
68,0.9,Ideal,G,SI1,61.6,57.0,6.17,6.24,3.82,4001
69,0.83,Premium,F,VS2,62.0,59.0,6.0,5.96,3.71,3393
70,0.9,Very Good,F,SI2,60.3,63.0,6.28,6.21,3.77,3630
71,0.32,Very Good,G,VS2,60.9,58.0,4.42,4.45,2.7,564
72,1.05,Good,E,VS1,63.1,59.0,6.45,6.49,4.08,7826
73,0.9,Very Good,D,SI1,62.4,63.0,6.18,6.15,3.85,3997
74,0.71,Ideal,E,SI2,62.3,57.0,5.66,5.74,3.55,2190
75,0.6,Ideal,F,VVS2,61.5,57.0,5.42,5.45,3.34,3196
76,1.23,Very Good,J,VVS2,61.2,57.0,6.86,6.92,4.22,5665
77,1.01,Fair,D,SI1,62.6,57.0,6.14,6.22,3.87,5628
78,0.7,Fair,F,VS1,65.8,59.0,5.58,5.48,3.64,2381
79,1.59,Ideal,I,SI1,62.4,56.0,7.48,7.46,4.66,10106
80,0.35,Very Good,G,IF,62.2,58.0,4.45,4.52,2.79,1044
81,0.9,Good,F,VS2,63.6,59.0,6.11,6.06,3.87,4234
82,2.0,Fair,F,SI2,70.2,57.0,7.63,7.59,5.34,15351
83,0.71,Premium,E,SI1,60.4,62.0,5.72,5.67,3.44,2441
84,0.26,Very Good,F,VVS1,60.8,58.0,4.11,4.18,2.52,679
85,0.53,Ideal,F,VS2,61.2,56.0,5.22,5.25,3.2,1655
86,0.35,Premium,I,VS2,61.2,58.0,4.57,4.55,2.79,630
87,0.3,Premium,G,VVS2,62.0,60.0,4.25,4.33,2.66,684
88,1.04,Very Good,G,SI2,60.6,57.0,6.56,6.6,3.99,4703
89,0.23,Very Good,F,VVS1,62.3,55.0,3.93,3.96,2.46,583
90,1.03,Premium,F,VS1,61.8,59.0,6.46,6.48,4.0,7328
91,0.3,Ideal,G,SI1,62.2,57.0,4.26,4.29,2.66,477
92,1.08,Good,E,SI1,63.1,59.0,6.49,6.53,4.11,5096
93,1.53,Ideal,I,SI2,61.3,59.0,7.42,7.39,4.54,8062
94,1.2,Ideal,E,VS2,61.3,56.0,6.89,6.84,4.21,10214
95,0.71,Ideal,E,SI1,60.8,57.0,5.8,5.84,3.54,3360
96,0.41,Premium,G,SI1,60.3,59.0,4.79,4.76,2.88,923
97,1.09,Premium,G,VS2,62.1,57.0,6.6,6.55,4.08,5098
98,0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2445
99,0.91,Premium,D,SI2,61.5,56.0,6.27,6.22,3.84,4051
100,1.07,Very Good,D,IF,60.9,58.0,6.57,6.67,4.03,18114
101,1.52,Good,H,SI1,64.1,59.0,7.11,7.18,4.58,8915
102,0.81,Good,F,SI1,64.3,53.0,5.91,5.97,3.81,2718
103,0.5,Very Good,F,SI1,62.8,56.0,5.03,5.06,3.17,1250
104,0.35,Very Good,H,VVS2,63.0,55.0,4.48,4.5,2.83,706
105,0.7,Very Good,G,VS1,60.1,60.0,5.73,5.76,3.45,3017
106,0.34,Premium,H,SI1,60.2,58.0,4.48,4.52,2.71,477
107,0.71,Ideal,E,SI1,60.5,56.0,5.81,5.84,3.53,3527
108,0.31,Ideal,E,VS2,61.7,55.0,4.39,4.36,2.7,872
109,0.55,Premium,E,VS2,61.5,56.0,5.28,5.25,3.24,1881
110,1.05,Ideal,G,VS2,61.9,56.0,6.56,6.52,4.05,6604
111,0.32,Premium,H,SI1,60.9,60.0,4.4,4.43,2.69,461
112,0.3,Ideal,E,VVS2,61.5,58.0,4.29,4.3,2.64,766
113,0.7,Very Good,H,SI2,61.6,56.1,5.72,5.77,3.53,2306
114,0.9,Very Good,H,SI2,62.8,57.0,6.15,6.2,3.88,3160
115,0.32,Very Good,F,VVS2,61.8,60.0,4.36,4.41,2.71,786
116,1.12,Ideal,D,VS2,62.0,55.0,6.63,6.66,4.12,8279
117,0.72,Very Good,G,VS2,63.3,57.0,5.71,5.67,3.6,2477
118,0.7,Ideal,E,SI1,62.2,57.0,5.72,5.67,3.54,2542
119,0.3,Very Good,F,VS2,62.9,57.0,4.29,4.33,2.71,605
120,0.5,Ideal,F,VVS2,59.9,58.0,5.14,5.17,3.09,2016
121,1.5,Premium,D,SI2,58.7,57.0,7.48,7.42,4.37,9173
122,0.55,Very Good,E,VVS2,60.6,56.0,5.33,5.36,3.24,2499
123,0.53,Good,E,SI2,63.0,60.0,5.11,5.14,3.23,1127
124,1.0,Good,F,SI1,63.3,61.0,6.29,6.31,3.99,4712
125,0.74,Very Good,D,VS2,62.4,57.0,5.74,5.8,3.6,2906
126,0.5,Ideal,D,SI1,60.9,57.0,5.11,5.13,3.12,1563
127,0.34,Premium,H,VS1,62.2,58.0,4.48,4.43,2.77,765
128,1.33,Premium,H,SI1,61.9,58.0,7.04,6.98,4.34,7302
129,0.58,Premium,E,SI1,62.1,58.0,5.35,5.31,3.31,1812
130,0.32,Ideal,F,VS1,62.0,54.0,4.44,4.43,2.75,876
131,1.0,Premium,E,SI2,62.8,59.0,6.34,6.3,3.97,4200
132,0.33,Premium,E,VS1,61.0,55.0,4.51,4.47,2.74,1069
133,1.03,Ideal,F,VVS2,62.0,56.0,6.45,6.48,4.01,9245
134,0.72,Premium,G,VVS2,61.6,58.0,5.78,5.81,3.57,2720
135,0.7,Premium,H,VS1,60.6,59.0,5.81,5.74,3.5,2636
136,0.39,Very Good,G,SI1,62.5,55.0,4.68,4.7,2.93,694
137,0.71,Ideal,D,SI1,60.2,56.0,5.86,5.83,3.52,2822
138,0.71,Very Good,D,SI2,60.2,58.0,5.76,5.8,3.48,2519
139,1.53,Ideal,H,VVS2,61.9,57.0,7.39,7.35,4.56,12848
140,1.0,Very Good,F,VS2,61.1,60.0,6.36,6.43,3.91,6619
141,0.39,Very Good,G,VS1,61.7,62.0,4.65,4.69,2.88,741
142,0.4,Good,D,VS2,63.2,57.0,4.65,4.71,2.96,786
143,1.01,Very Good,F,SI2,59.5,57.0,6.61,6.66,3.95,3709
144,1.01,Good,F,VVS2,63.6,60.0,6.31,6.36,4.03,6932
145,1.14,Ideal,H,SI2,62.6,57.0,6.72,6.63,4.18,4788
146,0.51,Ideal,F,VS2,62.9,57.0,5.11,5.09,3.21,1687
147,1.5,Ideal,H,VS2,62.2,57.0,7.27,7.33,4.54,10692
148,0.75,Ideal,D,SI2,60.3,57.0,5.85,5.89,3.54,2726
149,0.31,Ideal,G,VS2,61.4,56.0,4.36,4.34,2.67,698
150,0.97,Ideal,E,SI2,62.3,56.0,6.28,6.33,3.93,4078
151,0.9,Very Good,F,VS2,61.7,57.0,6.17,6.21,3.82,4493
152,0.3,Premium,H,IF,60.4,60.0,4.34,4.3,2.61,1013
153,0.9,Premium,I,SI2,62.5,58.0,6.15,6.1,3.83,2948
154,1.0,Premium,H,SI2,60.0,62.0,6.53,6.51,3.91,3584
155,0.3,Ideal,D,SI1,62.2,55.0,4.33,4.29,2.68,709
156,1.02,Ideal,E,VS2,61.0,56.0,6.53,6.51,3.98,8225
157,0.9,Good,D,SI1,63.6,63.0,6.03,6.07,3.85,3755
158,1.55,Very Good,G,SI1,59.2,59.0,7.51,7.59,4.47,10707
159,0.68,Good,G,VVS1,61.9,55.0,5.63,5.68,3.5,3225
160,0.4,Very Good,E,SI1,63.3,56.0,4.74,4.68,2.98,882
161,0.51,Premium,H,SI2,62.9,56.0,5.08,5.06,3.19,1125
162,2.32,Premium,J,SI2,59.0,59.0,8.69,8.64,5.11,14666
163,0.31,Ideal,H,SI1,61.2,58.0,4.37,4.39,2.68,417
164,1.1,Ideal,H,VS1,61.4,57.0,6.65,6.64,4.08,6470
165,1.0,Premium,F,I1,62.4,59.0,6.38,6.34,3.97,3405
166,0.72,Very Good,D,SI2,61.3,59.0,5.74,5.78,3.53,2692
167,0.38,Ideal,G,SI1,61.6,54.0,4.68,4.71,2.89,710
168,1.22,Very Good,H,SI1,62.4,57.0,6.78,6.82,4.24,6323
169,0.53,Ideal,G,VVS1,61.4,57.0,5.21,5.18,3.19,2106
170,1.02,Premium,G,VS2,62.7,58.0,6.44,6.36,4.01,5506
171,0.33,Very Good,H,IF,61.7,59.0,4.43,4.45,2.74,787
172,1.06,Ideal,I,VS1,61.8,56.0,6.5,6.57,4.05,6060
173,0.3,Premium,F,IF,60.7,58.0,4.37,4.33,2.64,1013
174,0.28,Ideal,D,VS2,62.4,57.0,4.16,4.2,2.61,487
175,0.31,Ideal,F,VS2,61.9,55.0,4.39,4.37,2.71,802
176,1.01,Very Good,E,VS2,61.9,55.0,6.38,6.44,3.97,6666
177,1.53,Ideal,I,VS1,62.8,55.0,7.4,7.35,4.63,10796
178,1.07,Premium,H,SI1,58.9,59.0,6.76,6.71,3.97,4235
179,0.25,Ideal,F,VS2,61.6,55.0,4.06,4.08,2.51,535
180,0.33,Ideal,H,VVS2,61.9,57.0,4.41,4.44,2.74,666
181,1.25,Premium,J,VS2,62.0,59.0,6.9,6.87,4.27,5264
182,0.32,Ideal,G,VVS1,61.1,55.0,4.45,4.48,2.73,814
183,0.55,Ideal,D,VS2,60.2,56.0,5.33,5.38,3.22,2459
184,1.12,Premium,J,SI2,60.7,61.0,6.71,6.64,4.05,3266
185,0.27,Ideal,G,VS1,62.3,53.0,4.16,4.19,2.6,527
186,0.93,Premium,J,VS1,60.3,58.0,6.37,6.31,3.82,3062
187,0.31,Ideal,H,VVS2,62.5,55.0,4.37,4.34,2.72,802
188,0.43,Very Good,F,VS2,62.5,60.0,4.81,4.86,3.02,804
189,0.31,Good,I,SI1,63.8,55.0,4.34,4.31,2.76,523
190,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,8431
191,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,4416
192,0.4,Ideal,G,VVS2,62.3,54.0,4.75,4.78,2.97,931
193,1.3,Premium,F,VS1,62.5,58.0,6.97,6.94,4.35,11392
194,0.5,Very Good,F,SI2,63.1,60.0,5.0,5.04,3.17,1020
195,2.03,Premium,D,SI2,62.4,59.0,8.04,7.98,5.0,18286
196,0.4,Very Good,J,VS2,62.9,57.0,4.7,4.75,2.97,596
197,0.32,Very Good,E,SI1,63.3,56.0,4.35,4.34,2.75,720
198,1.01,Good,E,SI2,63.9,58.0,6.37,6.31,4.05,3737
199,1.04,Ideal,H,SI1,62.5,57.0,6.5,6.46,4.05,4648
200,0.31,Premium,E,VVS2,61.9,58.0,4.38,4.35,2.7,1046
201,1.06,Ideal,I,VS2,62.3,56.0,6.56,6.51,4.07,4530
202,1.05,Good,H,SI1,63.1,60.0,6.42,6.49,4.07,4608
203,0.71,Ideal,E,VS2,62.2,57.0,5.79,5.62,3.55,2776
204,0.34,Ideal,I,VS1,62.6,56.0,4.44,4.47,2.79,537
205,0.73,Ideal,F,VVS2,62.2,54.0,5.8,5.75,3.59,3193
206,0.99,Good,F,SI2,63.3,54.0,6.36,6.43,4.05,4052
207,0.9,Ideal,E,SI2,62.2,55.0,6.19,6.22,3.86,4191
208,0.36,Very Good,G,VS1,62.9,57.0,4.56,4.6,2.88,726
209,0.43,Ideal,E,VS2,61.9,56.0,4.88,4.85,3.01,1048
210,1.01,Premium,G,SI2,62.0,58.0,6.41,6.37,3.96,4327
211,1.19,Premium,D,SI2,58.8,58.0,7.04,6.9,4.1,5504
212,0.39,Very Good,H,SI2,62.4,59.0,4.58,4.65,2.88,562
213,0.87,Very Good,J,SI1,63.1,60.0,6.03,5.96,3.78,2379
214,0.91,Ideal,E,SI1,61.4,54.0,6.26,6.24,3.84,5252
215,0.35,Ideal,G,VS2,61.0,57.0,4.54,4.57,2.78,633
216,1.02,Very Good,F,SI1,61.9,58.0,6.43,6.49,4.0,5019
217,0.72,Very Good,H,VS2,62.9,58.0,5.7,5.75,3.6,2396
218,0.7,Very Good,F,SI1,60.6,60.0,5.71,5.75,3.47,2662
219,1.56,Ideal,J,VS2,62.4,57.0,7.39,7.46,4.63,7809
220,1.12,Very Good,H,SI2,61.8,58.0,6.62,6.68,4.11,4624
221,1.12,Very Good,G,SI2,60.2,59.0,6.7,6.85,4.08,4852
222,2.16,Very Good,H,SI2,62.3,60.0,8.19,8.31,5.14,14824
223,0.51,Ideal,D,VS2,62.5,56.0,5.13,5.11,3.2,2056
224,0.24,Very Good,F,VVS2,62.5,56.0,3.98,4.02,2.5,478
225,1.27,Premium,J,SI2,60.4,58.0,7.04,7.0,4.24,4660
226,0.9,Very Good,G,VS2,60.9,59.0,6.18,6.24,3.78,4269
227,0.7,Fair,H,SI1,64.5,59.0,5.54,5.51,3.56,2176
228,0.56,Ideal,F,VS2,62.6,56.0,5.28,5.3,3.31,1761
229,1.13,Premium,H,SI1,60.1,60.0,6.77,6.73,4.06,5050
230,0.51,Very Good,J,SI1,63.3,56.0,5.12,5.02,3.21,1071
231,1.01,Ideal,G,VS1,62.9,57.0,6.43,6.39,4.03,6176
232,0.56,Ideal,F,VS2,61.6,55.0,5.29,5.32,3.27,1723
233,0.73,Ideal,G,SI1,62.1,54.0,5.81,5.76,3.59,2351
234,0.91,Premium,E,SI2,62.8,59.0,6.16,6.13,3.86,3898
235,0.4,Ideal,D,VS1,62.9,56.0,4.71,4.67,2.95,1200
236,0.34,Ideal,E,VS2,62.2,55.0,4.49,4.48,2.79,956
237,1.7,Premium,I,VS2,62.2,58.0,7.65,7.6,4.74,11888
238,0.9,Very Good,E,VS2,62.9,57.0,6.16,6.18,3.88,4580
239,0.51,Ideal,E,VS2,61.7,54.0,5.18,5.13,3.18,1781
240,0.7,Good,E,VS2,60.3,60.0,5.69,5.75,3.45,3115
241,0.43,Premium,G,VS2,61.3,58.0,4.83,4.86,2.97,867
242,0.73,Premium,E,SI1,62.2,59.0,5.77,5.68,3.56,2821
243,0.32,Ideal,E,VS1,61.4,55.0,4.42,4.44,2.72,713
244,0.32,Premium,H,VVS1,61.5,59.0,4.41,4.37,2.7,936
245,0.91,Very Good,F,SI2,62.4,58.0,6.17,6.21,3.86,3659
246,0.4,Good,J,VS2,64.0,57.0,4.67,4.7,3.0,591
247,0.46,Ideal,F,SI2,62.1,54.7,4.95,4.98,3.08,851
248,1.01,Very Good,I,VS2,62.3,60.0,6.33,6.41,3.97,4666
249,0.31,Ideal,F,VS2,62.0,56.0,4.35,4.39,2.71,625
250,1.11,Ideal,H,SI2,62.0,54.0,6.64,6.61,4.11,4662
251,0.5,Premium,E,I1,60.7,61.0,5.14,5.05,3.09,840
252,0.51,Premium,E,VS2,62.5,60.0,5.1,5.08,3.18,1709
253,0.3,Ideal,F,VVS1,61.9,57.0,4.3,4.32,2.67,776
254,0.41,Ideal,E,VVS1,61.3,56.0,4.79,4.81,2.94,1367
255,0.53,Good,D,SI2,63.9,55.0,5.1,5.14,3.27,1226
256,0.3,Premium,H,VS2,61.1,59.0,4.37,4.3,2.65,608
257,0.4,Premium,H,VS1,62.6,58.0,4.66,4.73,2.94,807
258,0.32,Ideal,D,VVS2,61.2,56.0,4.39,4.43,2.7,803
259,1.3,Ideal,F,VVS2,62.1,55.0,6.96,7.04,4.35,12629
260,2.03,Very Good,I,SI1,62.3,60.0,8.01,8.07,5.01,16392
261,2.03,Good,G,SI2,62.7,65.0,8.17,7.92,5.06,13621
262,1.2,Very Good,H,SI1,62.3,57.0,6.78,6.76,4.22,6569
263,2.18,Ideal,I,VS2,62.0,57.0,8.35,8.24,5.14,13769
264,0.26,Premium,E,VS2,62.1,56.0,4.13,4.11,2.56,580
265,0.91,Fair,H,SI1,64.7,56.0,6.1,6.07,3.94,3816
266,0.34,Ideal,E,SI1,62.1,55.0,4.51,4.47,2.79,765
267,0.33,Ideal,G,VVS1,60.8,56.0,4.42,4.46,2.7,868
268,0.33,Ideal,F,VVS1,61.9,55.0,4.42,4.44,2.74,955
269,0.35,Premium,E,VS1,62.2,58.0,4.47,4.5,2.79,718
270,0.71,Very Good,G,VS1,63.3,56.0,5.67,5.64,3.58,2494
271,1.07,Premium,D,SI1,60.2,55.0,6.68,6.64,4.01,6112
272,0.71,Very Good,D,VS1,62.9,56.0,5.65,5.7,3.57,3465
273,2.23,Premium,J,VS2,61.0,58.0,8.39,8.36,5.11,14867
274,0.43,Ideal,H,VVS1,61.6,55.0,4.85,4.89,3.0,1017
275,0.55,Ideal,D,VS2,62.7,57.0,5.2,5.23,3.27,1755
276,0.9,Ideal,G,SI2,62.3,56.0,6.14,6.21,3.85,3718
277,0.72,Very Good,I,VVS1,62.8,56.0,5.69,5.75,3.59,2562
278,0.31,Ideal,J,VS1,61.7,55.1,4.36,4.39,2.7,429
279,0.23,Ideal,H,VVS1,61.1,55.0,3.98,4.01,2.44,484
280,0.31,Premium,E,VVS2,60.4,59.0,4.37,4.34,2.63,1046
281,1.52,Ideal,F,SI2,61.9,57.0,7.37,7.33,4.55,10129
282,1.22,Very Good,D,SI2,59.0,58.0,6.96,7.08,4.14,6607
283,1.32,Ideal,I,VS1,61.2,57.0,7.06,7.12,4.34,7480
284,1.24,Premium,D,SI2,59.9,59.0,7.01,6.95,4.18,5382
285,1.01,Premium,H,VS2,61.6,59.0,6.45,6.47,3.98,5166
286,0.4,Ideal,I,VS2,61.8,56.0,4.73,4.79,2.94,639
287,0.8,Premium,J,SI2,61.4,57.0,5.99,5.93,3.66,2074
288,0.5,Very Good,E,SI1,63.0,58.0,5.04,5.08,3.19,1316
289,1.09,Good,F,SI2,60.3,61.0,6.64,6.69,4.02,4698
290,0.3,Premium,G,IF,60.2,58.0,4.35,4.39,2.63,895
291,0.2,Premium,E,VS2,59.0,60.0,3.81,3.78,2.24,367
292,1.21,Ideal,G,VS2,60.1,57.0,6.94,6.98,4.18,9873
293,1.43,Fair,E,SI2,66.0,57.0,7.02,7.0,4.63,6086
294,0.56,Ideal,I,IF,61.9,54.0,5.29,5.34,3.29,1689
295,1.71,Ideal,J,VVS2,61.6,59.0,7.65,7.68,4.72,10945
296,1.24,Premium,F,VS2,62.2,58.0,6.89,6.84,4.27,9411
297,1.43,Premium,F,SI1,61.5,58.0,7.27,7.22,4.45,8809
298,2.32,Premium,J,VS2,62.4,57.0,8.48,8.4,5.27,17053
299,0.34,Premium,I,VVS1,62.6,58.0,4.45,4.47,2.79,626
300,0.41,Ideal,E,VVS1,60.7,57.0,4.8,4.85,2.93,1367
301,1.12,Very Good,F,SI1,62.9,57.0,6.6,6.62,4.16,6262
302,1.03,Premium,E,VS2,62.5,59.0,6.44,6.42,4.02,6183
303,1.35,Premium,F,SI2,62.8,60.0,7.08,7.0,4.42,6804
304,0.32,Ideal,G,VVS1,61.7,56.0,4.37,4.41,2.71,730
305,0.3,Ideal,D,VVS2,59.4,60.0,4.39,4.47,2.63,802
306,0.5,Good,G,VS2,57.9,61.0,5.23,5.2,3.02,1415
307,1.1,Ideal,G,SI1,61.6,56.0,6.62,6.65,4.08,6837
308,0.33,Premium,G,VS1,61.4,59.0,4.49,4.43,2.74,854
309,0.51,Ideal,G,SI2,62.1,56.0,5.1,5.13,3.18,1148
310,0.4,Premium,H,VVS1,61.8,58.0,4.72,4.69,2.91,1088
311,0.73,Ideal,E,SI1,59.1,59.0,5.92,5.95,3.51,2846
312,1.2,Good,D,SI1,63.5,55.0,6.7,6.78,4.28,5913
313,0.77,Ideal,E,VS2,61.0,56.0,5.91,5.96,3.62,3303
314,0.71,Very Good,I,SI1,62.0,56.0,5.69,5.72,3.54,2098
315,0.7,Ideal,F,VS2,61.0,55.0,5.74,5.79,3.52,3468
316,0.52,Premium,D,SI1,60.9,61.0,5.15,5.13,3.13,1605
317,0.57,Ideal,H,VVS1,61.6,56.0,5.32,5.35,3.28,1961
318,0.71,Good,I,VVS1,63.8,56.0,5.7,5.65,3.62,2572
319,0.32,Ideal,G,VS1,62.3,55.0,4.37,4.4,2.73,645
320,0.7,Very Good,J,SI2,61.7,59.0,5.64,5.67,3.49,1788
321,0.51,Ideal,E,VS1,62.0,57.0,5.11,5.15,3.18,1841
322,0.31,Premium,F,VVS1,59.2,62.0,4.41,4.34,2.59,997
323,0.41,Ideal,H,VVS2,62.0,56.0,4.74,4.78,2.95,899
324,0.97,Premium,F,SI1,59.9,59.0,6.39,6.36,3.82,4726
325,0.4,Very Good,D,SI1,63.8,54.0,4.68,4.75,3.01,694
326,0.32,Ideal,D,VS2,62.0,55.0,4.41,4.37,2.72,972
327,0.3,Ideal,E,VVS2,61.6,57.0,4.32,4.29,2.65,1013
328,0.91,Good,H,SI1,58.2,59.0,6.36,6.4,3.71,3855
329,0.55,Ideal,F,VS2,61.1,57.0,5.3,5.27,3.23,1819
330,1.09,Premium,I,SI2,62.3,62.0,6.63,6.57,4.11,2708
331,0.37,Ideal,E,VVS2,61.4,56.0,4.64,4.67,2.86,876
332,1.01,Premium,G,SI1,58.8,58.0,6.59,6.51,3.85,4395
333,0.54,Ideal,F,VVS2,61.6,56.0,5.23,5.26,3.23,2231
334,1.51,Premium,I,SI2,62.6,59.0,7.31,7.28,4.57,7292
335,1.05,Ideal,G,VS1,61.3,57.0,6.58,6.51,4.01,7155
336,0.51,Premium,I,SI1,61.3,58.0,5.16,5.11,3.15,1084
337,1.01,Very Good,G,SI1,63.5,60.0,6.41,6.38,3.92,4271
338,2.04,Ideal,I,SI1,60.2,56.0,8.19,8.26,4.95,16718
339,1.55,Premium,J,VS2,60.7,59.0,7.5,7.47,4.54,8055
340,1.14,Good,H,SI1,62.8,58.0,6.62,6.67,4.17,5487
341,0.41,Ideal,F,IF,61.4,56.0,4.81,4.83,2.96,1439
342,0.71,Very Good,F,VS1,62.2,55.0,5.68,5.74,3.56,3045
343,1.11,Premium,H,SI2,60.4,59.0,6.7,6.64,4.03,3605
344,1.12,Very Good,E,SI2,60.9,63.0,6.65,6.59,4.03,3864
345,0.32,Premium,H,SI2,60.4,59.0,4.42,4.39,2.66,504
346,0.7,Good,E,SI2,63.7,55.0,5.63,5.58,3.57,2435
347,0.5,Very Good,F,SI2,61.4,61.0,5.09,5.14,3.14,1068
348,0.31,Ideal,D,VS2,62.0,55.0,4.36,4.38,2.71,734
349,1.01,Premium,G,SI1,61.0,58.0,6.53,6.49,3.97,4808
350,0.59,Very Good,G,VS1,62.0,56.0,5.35,5.39,3.33,1878
351,0.32,Ideal,D,VS2,61.5,56.0,4.42,4.39,2.71,972
352,0.71,Ideal,D,SI2,61.0,56.0,5.77,5.8,3.53,2505
353,0.37,Ideal,F,VVS2,61.6,57.0,4.59,4.63,2.84,920
